product_id,product_name,price,category,image_urls,product_url,colors,filename
31127R_13TI_F0009_S_231,Embroidered jersey miniskirt,"$ 1,750",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/3/311/31127R/13TIF0009/31127R_13TI_F0009_S_231_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/3/311/31127R/13TIF0009/31127R_13TI_F0009_S_231_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/embroidered-jersey-miniskirt/31127R_13TI_F0009_S_231,,ready_to_wear.html
29E097_1WQ8_F0002_S_232,Re-Nylon blouson jacket,"$ 3,750",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/2/29E/29E097/1WQ8F0002/29E097_1WQ8_F0002_S_232_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/2/29E/29E097/1WQ8F0002/29E097_1WQ8_F0002_S_232_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/re-nylon-blouson-jacket/29E097_1WQ8_F0002_S_232,,ready_to_wear.html
29M097_1WQ8_F0002_S_232,Re-Nylon vest,"$ 2,500",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/2/29M/29M097/1WQ8F0002/29M097_1WQ8_F0002_S_232_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/2/29M/29M097/1WQ8F0002/29M097_1WQ8_F0002_S_232_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/re-nylon-vest/29M097_1WQ8_F0002_S_232,,ready_to_wear.html
21H964_1WQ8_F0002_S_232,Re-Nylon pencil skirt,"$ 1,290",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/2/21H/21H964/1WQ8F0002/21H964_1WQ8_F0002_S_232_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/2/21H/21H964/1WQ8F0002/21H964_1WQ8_F0002_S_232_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/re-nylon-pencil-skirt/21H964_1WQ8_F0002_S_232,,ready_to_wear.html
P24B2Q_134M_F0D1P_S_OOO,"Wool, cashmere and lamé crew-neck sweater","$ 2,350",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/P/P24/P24B2Q/134MF0D1P/P24B2Q_134M_F0D1P_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/P/P24/P24B2Q/134MF0D1P/P24B2Q_134M_F0D1P_S_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/wool-cashmere-and-lame-crew-neck-sweater/P24B2Q_134M_F0D1P_S_OOO,,ready_to_wear.html
3538BR_13TI_F0009_S_231,Embroidered jersey T-shirt,"$ 2,150",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/3/353/3538BR/13TIF0009/3538BR_13TI_F0009_S_231_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/3/353/3538BR/13TIF0009/3538BR_13TI_F0009_S_231_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/embroidered-jersey-t-shirt/3538BR_13TI_F0009_S_231,,ready_to_wear.html
33576R_13TI_F0009_S_231,Embroidered jersey dress,"$ 2,750",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/3/335/33576R/13TIF0009/33576R_13TI_F0009_S_231_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/3/335/33576R/13TIF0009/33576R_13TI_F0009_S_231_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/embroidered-jersey-dress/33576R_13TI_F0009_S_231,,ready_to_wear.html
P240H_M65_F0002_S_OOO,Velvet pants,"$ 1,720",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/P/P24/P240H/M65F0002/P240H_M65_F0002_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/P/P24/P240H/M65F0002/P240H_M65_F0002_S_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/velvet-pants/P240H_M65_F0002_S_OOO,,ready_to_wear.html
291973_11A9_F0002_S_212,Re-Nylon convertible cropped down jacket,"$ 2,650",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/2/291/291973/11A9F0002/291973_11A9_F0002_S_212_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/2/291/291973/11A9F0002/291973_11A9_F0002_S_212_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/re-nylon-convertible-cropped-down-jacket/291973_11A9_F0002_S_212,"rgb(0, 0, 0), rgb(255, 255, 255)",ready_to_wear.html
59454_13C5_F0002_S_OOO,Shearling vest,"$ 5,800",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/5/594/59454/13C5F0002/59454_13C5_F0002_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/5/594/59454/13C5F0002/59454_13C5_F0002_S_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/shearling-vest/59454_13C5_F0002_S_OOO,,ready_to_wear.html
P108JR_136W_F0002_S_OOO,Sequined midi-skirt,"$ 4,800",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/P/P10/P108JR/136WF0002/P108JR_136W_F0002_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/P/P10/P108JR/136WF0002/P108JR_136W_F0002_S_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/sequined-midi-skirt-/P108JR_136W_F0002_S_OOO,,ready_to_wear.html
58A159_13C5_F0002_S_OOO,Shearling jacket,"$ 11,200",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/5/58A/58A159/13C5F0002/58A159_13C5_F0002_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/5/58A/58A159/13C5F0002/58A159_13C5_F0002_S_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/shearling-jacket/58A159_13C5_F0002_S_OOO,,ready_to_wear.html
33582R_13X6_F0009_S_OOO,Embroidered ribbed jersey dress,"$ 2,500",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/3/335/33582R/13X6F0009/33582R_13X6_F0009_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/3/335/33582R/13X6F0009/33582R_13X6_F0009_S_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/embroidered-ribbed-jersey-dress/33582R_13X6_F0009_S_OOO,,ready_to_wear.html
39569R_13X6_F0009_S_OOO,Embroidered ribbed knit jersey top,"$ 1,890",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/3/395/39569R/13X6F0009/39569R_13X6_F0009_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/3/395/39569R/13X6F0009/39569R_13X6_F0009_S_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/embroidered-ribbed-knit-jersey-top/39569R_13X6_F0009_S_OOO,,ready_to_wear.html
39546R_13X6_F0009_S_OOO,Ribbed knit jersey top with embroidery,"$ 2,250",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/3/395/39546R/13X6F0009/39546R_13X6_F0009_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/3/395/39546R/13X6F0009/39546R_13X6_F0009_S_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/ribbed-knit-jersey-top-with-embroidery/39546R_13X6_F0009_S_OOO,,ready_to_wear.html
P530OG_M65_F0002_S_OOO,Velvet jacket,"$ 2,450",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/P/P53/P530OG/M65F0002/P530OG_M65_F0002_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/P/P53/P530OG/M65F0002/P530OG_M65_F0002_S_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/velvet-jacket/P530OG_M65_F0002_S_OOO,,ready_to_wear.html
P530OR_136W_F0002_S_OOO,Single-breasted sequin jacket,"$ 7,100",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/P/P53/P530OR/136WF0002/P530OR_136W_F0002_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/P/P53/P530OR/136WF0002/P530OR_136W_F0002_S_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/single-breasted-sequin-jacket/P530OR_136W_F0002_S_OOO,,ready_to_wear.html
P25M32_1346_F0002_S_OOO,Cashmere cardigan,"$ 3,650",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/P/P25/P25M32/1346F0002/P25M32_1346_F0002_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/P/P25/P25M32/1346F0002/P25M32_1346_F0002_S_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/cashmere-cardigan/P25M32_1346_F0002_S_OOO,,ready_to_wear.html
P259H_11CZ_F0002_S_OOO,Wool pants,"$ 1,990",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/P/P25/P259H/11CZF0002/P259H_11CZ_F0002_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/P/P25/P259H/11CZF0002/P259H_11CZ_F0002_S_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/wool-pants/P259H_11CZ_F0002_S_OOO,,ready_to_wear.html
P252H_1344_F0002_S_OOO,Organza pants,"$ 1,990",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/P/P25/P252H/1344F0002/P252H_1344_F0002_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/P/P25/P252H/1344F0002/P252H_1344_F0002_S_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/organza-pants/P252H_1344_F0002_S_OOO,,ready_to_wear.html
P110JP_14CE_F0002_S_OOO,Feather-trimmed wool midi-skirt,"$ 2,650",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/P/P11/P110JP/14CEF0002/P110JP_14CE_F0002_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/P/P11/P110JP/14CEF0002/P110JP_14CE_F0002_S_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/feather-trimmed-wool-midi-skirt/P110JP_14CE_F0002_S_OOO,,ready_to_wear.html
