product_id,color_id,product_name,product_price,currency,product_color,category,image_urls,product_url,filename,relative_path
4S002CPLB.19MH,19MH,Oversized S002 Sunglasses in Acetate; Milky Hazelnut,460,USD,Milky Hazelnut,ACCESSORIES,"https://twicpics.celine.com/product-prd/images/large/4S002CPLB.19MH_1_SPR20_W_V3.jpg, https://twicpics.celine.com/product-prd/images/large/4S002CPLB.19MH_2_SPR20_W_V3.jpg",/en-us/celine-shop-women/accessories/sunglasses/oversized-s002-sunglasses-in-acetate-4S002CPLB.19MH.html,_nav=A00010-VIEW-ALL.html,2024-07-10 17-39-54\en-us\celine-shop-women\accessories\_nav=A00010-VIEW-ALL.html
4S002CPLB.36SJ,36SJ,Oversized S002 Sunglasses in Acetate; Silver Glitter,460,USD,Silver Glitter,ACCESSORIES,"https://twicpics.celine.com/product-prd/images/large/4S002CPLB.36SJ_1_FW23_W.jpg, https://twicpics.celine.com/product-prd/images/large/4S002CPLB.36SJ_2_FW23_W.jpg",/en-us/celine-shop-women/accessories/sunglasses/oversized-s002-sunglasses-in-acetate-4S002CPLB.36SJ.html,_nav=A00010-VIEW-ALL.html,2024-07-10 17-39-54\en-us\celine-shop-women\accessories\_nav=A00010-VIEW-ALL.html
4S055CPLP.38NO,38NO,Oversized S055 Sunglasses in Acetate with Polarized Lenses; Black,500,USD,Black,ACCESSORIES,"https://twicpics.celine.com/product-prd/images/large/4S055CPLP.38NO_1_FAWI18_82020.jpg, https://twicpics.celine.com/product-prd/images/large/4S055CPLP.38NO_2_FAWI18_82119.jpg",/en-us/celine-shop-women/accessories/sunglasses/oversized-s055-sunglasses-in-acetate-with-polarized-lenses-4S055CPLP.38NO.html,_nav=A00010-VIEW-ALL.html,2024-07-10 17-39-54\en-us\celine-shop-women\accessories\_nav=A00010-VIEW-ALL.html
4S130CPLP.38NO,38NO,Square S130 Sunglasses in Acetate with Polarized Lenses; Black,500,USD,Black,ACCESSORIES,"https://twicpics.celine.com/product-prd/images/large/4S130CPLP.38NO_1_SPR20_423976v2.jpg, https://twicpics.celine.com/product-prd/images/large/4S130CPLP.38NO_2_SPR20_424753v2.jpg",/en-us/celine-shop-women/accessories/sunglasses/square-s130-sunglasses-in-acetate-with-polarized-lenses-4S130CPLP.38NO.html,_nav=A00010-VIEW-ALL.html,2024-07-10 17-39-54\en-us\celine-shop-women\accessories\_nav=A00010-VIEW-ALL.html
4S130CPLB.19TR,19TR,Square S130 sunglasses in Acetate; Red Havana,480,USD,Red Havana,ACCESSORIES,"https://twicpics.celine.com/product-prd/images/large/4S130CPLB.19TR_1_SPR20_423968v1.jpg, https://twicpics.celine.com/product-prd/images/large/4S130CPLB.19TR_2_SPR20_424762v1.jpg",/en-us/celine-shop-women/accessories/sunglasses/square-s130-sunglasses-in-acetate-4S130CPLB.19TR.html,_nav=A00010-VIEW-ALL.html,2024-07-10 17-39-54\en-us\celine-shop-women\accessories\_nav=A00010-VIEW-ALL.html
4S263CPLB.38NO,38NO,Square S263 Sunglasses in Acetate; Black,480,USD,Black,ACCESSORIES,"https://twicpics.celine.com/product-prd/images/large/4S263CPLB.38NO_1_FW23_W.jpg, https://twicpics.celine.com/product-prd/images/large/4S263CPLB.38NO_2_FW23_W.jpg",/en-us/celine-shop-women/accessories/sunglasses/square-s263-sunglasses-in-acetate-4S263CPLB.38NO.html,_nav=A00010-VIEW-ALL.html,2024-07-10 17-39-54\en-us\celine-shop-women\accessories\_nav=A00010-VIEW-ALL.html
4S263CPLB.19HD,19HD,Square S263 Sunglasses in Acetate; Classic Havana,480,USD,Classic Havana,ACCESSORIES,"https://twicpics.celine.com/product-prd/images/large/4S263CPLB.19HD_1_FW23_W.jpg, https://twicpics.celine.com/product-prd/images/large/4S263CPLB.19HD_2_FW23_W.jpg",/en-us/celine-shop-women/accessories/sunglasses/square-s263-sunglasses-in-acetate-4S263CPLB.19HD.html,_nav=A00010-VIEW-ALL.html,2024-07-10 17-39-54\en-us\celine-shop-women\accessories\_nav=A00010-VIEW-ALL.html
4S263CPLB.18MI,18MI,Square S263 Sunglasses in Acetate; Milky Rust,480,USD,Milky Rust,ACCESSORIES,"https://twicpics.celine.com/product-prd/images/large/4S263CPLB.18MI_1_FW23_W.jpg, https://twicpics.celine.com/product-prd/images/large/4S263CPLB.18MI_2_FW23_W.jpg",/en-us/celine-shop-women/accessories/sunglasses/square-s263-sunglasses-in-acetate-4S263CPLB.18MI.html,_nav=A00010-VIEW-ALL.html,2024-07-10 17-39-54\en-us\celine-shop-women\accessories\_nav=A00010-VIEW-ALL.html
4S263CPLB.24TC,24TC,Square S263 Sunglasses in Acetate; Transparent Rose Caramel,480,USD,Transparent Rose Caramel,ACCESSORIES,"https://twicpics.celine.com/product-prd/images/large/4S263CPLB.24TC_1_FW23_W.jpg, https://twicpics.celine.com/product-prd/images/large/4S263CPLB.24TC_2_FW23_W.jpg",/en-us/celine-shop-women/accessories/sunglasses/square-s263-sunglasses-in-acetate-4S263CPLB.24TC.html,_nav=A00010-VIEW-ALL.html,2024-07-10 17-39-54\en-us\celine-shop-women\accessories\_nav=A00010-VIEW-ALL.html
4S270CPLB.38NO,38NO,Butterfly S270 Sunglasses in Acetate; Black,420,USD,Black,ACCESSORIES,"https://twicpics.celine.com/product-prd/images/large/4S270CPLB.38NO_1_FW23_W.jpg, https://twicpics.celine.com/product-prd/images/large/4S270CPLB.38NO_2_FW23_W.jpg",/en-us/celine-shop-women/accessories/sunglasses/butterfly-s270-sunglasses-in-acetate-4S270CPLB.38NO.html,_nav=A00010-VIEW-ALL.html,2024-07-10 17-39-54\en-us\celine-shop-women\accessories\_nav=A00010-VIEW-ALL.html
