user_category,product_id,product_url,product_name,price,image_urls,availability,currency,label,filename
men-all,BK60EDK1JE-001,https://www.givenchy.com/us/en-US/g-zip-toilet-pouch-in-nylon/BK60EDK1JE-001.html,G-Zip toilet pouch in nylon,$495,"https://assets.givenchy.com/m/3019fede49c8bc6/High_Resolution_JPG-BK60EDK1JE001-03-01.jpg?imwidth=300, https://assets.givenchy.com/m/7901bf67d4b03b5f/High_Resolution_JPG-BK60EDK1JE001-03-06.jpg?imwidth=300",IN_STOCK,USD,Notify me,men-all.html
men-all,BK6081K1R4-710,https://www.givenchy.com/us/en-US/small-4g-padlock-in-metal-with-crystals/BK6081K1R4-710.html,Small 4G padlock in metal with crystals,$525,"https://assets.givenchy.com/m/359bddd8d241aa79/High_Resolution_JPG-BK6081K1R4710-03-01.jpg?imwidth=300, https://assets.givenchy.com/m/7029b6b10d474a52/High_Resolution_JPG-BK6081K1R4710-03-06.jpg?imwidth=300",IN_STOCK,USD,Notify me,men-all.html
men-all,BN104RF045-001,https://www.givenchy.com/us/en-US/lock-earring-in-enamelled-metal/BN104RF045-001.html,Lock earring in enamelled metal,$300,"https://assets.givenchy.com/m/246200501c7621b7/High_Resolution_JPG-BN104RF045001-03-01.jpg?imwidth=300, https://assets.givenchy.com/m/68308e6ba8d7d2fa/High_Resolution_JPG-BN104RF045001-02-05.jpg?imwidth=300",IN_STOCK,USD,Notify me,men-all.html
men-all,BK609VK1C9-710,https://www.givenchy.com/us/en-US/givenchy-4g-flask-with-strap/BK609VK1C9-710.html,GIVENCHY 4G flask with strap,$625,"https://assets.givenchy.com/m/2b7ff726ce6b0d1b/High_Resolution_JPG-BK609VK1C9710-03-01.jpg?imwidth=300, https://assets.givenchy.com/m/13889753be8a52a0/High_Resolution_JPG-BK609VK1C9710-03-06.jpg?imwidth=300",IN_STOCK,USD,Notify me,men-all.html
men-all,BK50C7K1UB-001,https://www.givenchy.com/us/en-US/large-voyou-bag-in-grained-leather/BK50C7K1UB-001.html,Large Voyou bag in grained leather,$2650,"https://assets.givenchy.com/m/a343b12d0cb2b56/High_Resolution_JPG-BK50C7K1UB001-03-01.jpg?imwidth=300, https://assets.givenchy.com/m/4254142407520b5b/High_Resolution_JPG-BK50C7K1UB001-02-01.jpg?imwidth=300",IN_STOCK,USD,Notify me,men-all.html
men-all,BM71JA3YJ5-402,https://www.givenchy.com/us/en-US/4g-t-shirt-in-cotton/BM71JA3YJ5-402.html,4G t-shirt in cotton,$620,"https://assets.givenchy.com/m/604b12f8d3567579/High_Resolution_JPG-BM71JA3YJ5402-03-01.jpg?imwidth=300, https://assets.givenchy.com/m/5628888ac90540c8/High_Resolution_JPG-BM71JA3YJ5402-02-01.jpg?imwidth=300",IN_STOCK,USD,Notify me,men-all.html
men-all,BKU03SK1PH-001,https://www.givenchy.com/us/en-US/small-g-essentials-tote-bag-in-coated-canvas/BKU03SK1PH-001.html,Small G-Essentials tote bag in coated canvas,$990,"https://assets.givenchy.com/m/7544a80e32133af8/High_Resolution_JPG-BKU03SK1PH001-03-01.jpg?imwidth=300, https://assets.givenchy.com/m/5d0f1bcc976e1fcd/High_Resolution_JPG-BKU03SK1PH001-02-01.jpg?imwidth=300",IN_STOCK,USD,Notify me,men-all.html
men-all,BK608NK1TX-002,https://www.givenchy.com/us/en-US/givenchy-wallet-in-crackled-leather/BK608NK1TX-002.html,GIVENCHY wallet in crackled leather,$425,"https://assets.givenchy.com/m/686b63c521c58c46/High_Resolution_JPG-BK608NK1TX002-03-01.jpg?imwidth=300, https://assets.givenchy.com/m/17289f302545f6da/High_Resolution_JPG-BK608NK1TX002-03-07.jpg?imwidth=300",IN_STOCK,USD,Notify me,men-all.html
men-all,BPZ022P0RY-001,https://www.givenchy.com/us/en-US/givenchy-embroidered-cap-in-cotton/BPZ022P0RY-001.html,GIVENCHY embroidered cap in cotton,$495,"https://assets.givenchy.com/m/6c994758ba3ac70f/High_Resolution_JPG-BPZ022P0RY001-03-01.jpg?imwidth=300, https://assets.givenchy.com/m/c136b52b3d9442c/High_Resolution_JPG-BPZ022P0RY001-02-05.jpg?imwidth=300",IN_STOCK,USD,Notify me,men-all.html
men-all,BK50CCK1UE-001,https://www.givenchy.com/us/en-US/medium-pandora-bag-in-grained-leather/BK50CCK1UE-001.html,Medium Pandora bag in grained leather,$2100,"https://assets.givenchy.com/m/f05f14a20256823/High_Resolution_JPG-BK50CCK1UE001-03-01.jpg?imwidth=300, https://assets.givenchy.com/m/4c258e8358fe0363/High_Resolution_JPG-BK50CCK1UE001-02-01.jpg?imwidth=300",IN_STOCK,USD,Notify me,men-all.html
men-all,BK60DLK14L-001,https://www.givenchy.com/us/en-US/antigona-airpods-case-in-box-leather/BK60DLK14L-001.html,Antigona AirPods case in box leather,$390,"https://assets.givenchy.com/m/253829a38557a982/High_Resolution_JPG-BK60DLK14L001-03-01.jpg?imwidth=300, https://assets.givenchy.com/m/253829a38557a982/High_Resolution_JPG-BK60DLK14L001-03-01.jpg?imwidth=300",IN_STOCK,USD,Notify me,men-all.html
men-all,BR008SR04P-701,https://www.givenchy.com/us/en-US/giv-cut-unisex-sunglasses-in-metal/BR008SR04P-701.html,Giv Cut unisex sunglasses in metal,$600,"https://assets.givenchy.com/m/1ca0ea9211363700/High_Resolution_JPG-BR008SR04P701-03-01.jpg?imwidth=300, https://assets.givenchy.com/m/22e33e30e460b14e/High_Resolution_JPG-BR008SR04P701-02-05.jpg?imwidth=300",IN_STOCK,USD,Notify me,men-all.html
men-all,BP1041P0UQ-001,https://www.givenchy.com/us/en-US/tie-in-printed-silk/BP1041P0UQ-001.html,Tie in printed silk,$185,"https://assets.givenchy.com/m/b9c172cea7098c4/High_Resolution_JPG-BP1041P0UQ001-03-01.jpg?imwidth=300, https://assets.givenchy.com/m/4b7919704699bd6b/High_Resolution_JPG-BP1041P0UQ001-03-08.jpg?imwidth=300",IN_STOCK,USD,Notify me,men-all.html
men-all,BK50CTK1U7-001,https://www.givenchy.com/us/en-US/large-voyou-bag-in-nylon-and-faux-fur/BK50CTK1U7-001.html,Large Voyou bag in nylon and faux fur,$2450,"https://assets.givenchy.com/m/f787438d7f35e3a/High_Resolution_JPG-BK50CTK1U7001-03-01.jpg?imwidth=300, https://assets.givenchy.com/m/27592aea2bd850af/High_Resolution_JPG-BK50CTK1U7001-02-01.jpg?imwidth=300",IN_STOCK,USD,Notify me,men-all.html
men-all,BM716N3YAC-305,https://www.givenchy.com/us/en-US/givenchy-archetype-oversized-t-shirt-in-cotton/BM716N3YAC-305.html,GIVENCHY Archetype oversized t-shirt in cotton,$475,"https://assets.givenchy.com/m/73f39a018a8437bb/High_Resolution_JPG-BM716N3YAC305-03-01.jpg?imwidth=300, https://assets.givenchy.com/m/6d1c2f95ba0acd54/High_Resolution_JPG-BM716N3YAC305-02-01.jpg?imwidth=300",IN_STOCK,USD,Notify me,men-all.html
men-all,BK60E9K15M-040,https://www.givenchy.com/us/en-US/4g-lock-dice-holder-keyring/BK60E9K15M-040.html,4G Lock dice holder keyring,$1390,"https://assets.givenchy.com/m/53252b67098d99e/High_Resolution_JPG-BK60E9K15M040-03-01.jpg?imwidth=300, https://assets.givenchy.com/m/531196de0e843bb9/High_Resolution_JPG-BK60E9K15M040-03-06.jpg?imwidth=300",IN_STOCK,USD,Notify me,men-all.html
men-all,BM60Y6151E-003,https://www.givenchy.com/us/en-US/hawaiian-shirt-in-printed-silk/BM60Y6151E-003.html,Hawaiian shirt in printed silk,$990,"https://assets.givenchy.com/m/b63d75d8787b640/High_Resolution_JPG-BM60Y6151E003-03-01.jpg?imwidth=300, https://assets.givenchy.com/m/1e7b37a531a64251/High_Resolution_JPG-BM60Y6151E003-02-01.jpg?imwidth=300",IN_STOCK,USD,Notify me,men-all.html
men-all,BK50CZK1WQ-001,https://www.givenchy.com/us/en-US/g-trail-bumbag-in-nylon-and-leather/BK50CZK1WQ-001.html,G-Trail bumbag in nylon and leather,$2900,"https://assets.givenchy.com/m/1b2e9fe54c497e99/High_Resolution_JPG-BK50CZK1WQ001-03-01.jpg?imwidth=300, https://assets.givenchy.com/m/4e0c9196de182581/High_Resolution_JPG-BK50CZK1WQ001-02-04.jpg?imwidth=300",IN_STOCK,USD,Notify me,men-all.html
men-all,BK50DKK1X0-001,https://www.givenchy.com/us/en-US/small-g-trail-backpack-in-nylon-and-leather/BK50DKK1X0-001.html,Small G-Trail backpack in nylon and leather,$2200,"https://assets.givenchy.com/m/5f4b2a74a3112c7a/High_Resolution_JPG-BK50DKK1X0001-03-01.jpg?imwidth=300, https://assets.givenchy.com/m/333cfaaa1368a5/High_Resolution_JPG-BK50DKK1X0001-02-04.jpg?imwidth=300",IN_STOCK,USD,Notify me,men-all.html
men-all,BK50DKK1X1-200,https://www.givenchy.com/us/en-US/small-g-trail-backpack-in-nubuck-and-canvas/BK50DKK1X1-200.html,Small G-Trail backpack in nubuck and canvas,$2200,"https://assets.givenchy.com/m/467c1d29bceed41/High_Resolution_JPG-BK50DKK1X1200-03-01.jpg?imwidth=300, https://assets.givenchy.com/m/639209959d089283/High_Resolution_JPG-BK50DKK1X1200-02-04.jpg?imwidth=300",IN_STOCK,USD,Notify me,men-all.html
men-all,BKU042K1JE-001,https://www.givenchy.com/us/en-US/antigona-bag-in-nylon/BKU042K1JE-001.html,Antigona bag in nylon,$1290,"https://assets.givenchy.com/m/61bf3c974c110a9d/High_Resolution_JPG-BKU042K1JE001-03-01.jpg?imwidth=300, https://assets.givenchy.com/m/656cd71f729f5002/High_Resolution_JPG-BKU042K1JE001-02-01.jpg?imwidth=300",IN_STOCK,USD,Notify me,men-all.html
men-all,BN007WF003-040,https://www.givenchy.com/us/en-US/giv-cut-necklace-in-metal/BN007WF003-040.html,Giv Cut necklace in metal,$1750,"https://assets.givenchy.com/m/1bf87e1259858a29/High_Resolution_JPG-BN007WF003040-03-01.jpg?imwidth=300, https://assets.givenchy.com/m/40d73553a8c4620b/High_Resolution_JPG-BN007WF003040-02-05.jpg?imwidth=300",IN_STOCK,USD,Notify me,men-all.html
men-all,BK50DKK1X2-129,https://www.givenchy.com/us/en-US/small-g-trail-backpack-in-nubuck-and-canvas/BK50DKK1X2-129.html,Small G-Trail backpack in nubuck and canvas,$2200,"https://assets.givenchy.com/m/6283af0f37cc09c2/High_Resolution_JPG-BK50DKK1X2129-03-01.jpg?imwidth=300, https://assets.givenchy.com/m/20420c535b24ea80/High_Resolution_JPG-BK50DKK1X2129-02-04.jpg?imwidth=300",IN_STOCK,USD,Notify me,men-all.html
men-all,BKU04CK1RG-001,https://www.givenchy.com/us/en-US/g-trek-roller-bag-in-nylon/BKU04CK1RG-001.html,G-Trek roller bag in nylon,$890,"https://assets.givenchy.com/m/4d65c580d6d88070/High_Resolution_JPG-BKU04CK1RG001-03-01.jpg?imwidth=300, https://assets.givenchy.com/m/32fe0904d07d2ff7/High_Resolution_JPG-BKU04CK1RG001-02-01.jpg?imwidth=300",IN_STOCK,USD,Notify me,men-all.html
men-all,BK607TK16G-711,https://www.givenchy.com/us/en-US/small-4g-padlock-in-two-tone-metal/BK607TK16G-711.html,Small 4G padlock in two tone metal,$520,"https://assets.givenchy.com/m/7d447e57f951c78b/High_Resolution_JPG-BK607TK16G711-03-01.jpg?imwidth=300, https://assets.givenchy.com/m/7d447e57f951c78b/High_Resolution_JPG-BK607TK16G711-03-01.jpg?imwidth=300",IN_STOCK,USD,Notify me,men-all.html
men-all,BK50CWK1X1-280,https://www.givenchy.com/us/en-US/voyou-crossbody-bag-in-nubuck/BK50CWK1X1-280.html,Voyou Crossbody bag in nubuck,$2250,"https://assets.givenchy.com/m/6b1a02871c0e8187/High_Resolution_JPG-BK50CWK1X1280-03-01.jpg?imwidth=300, https://assets.givenchy.com/m/5f0f97eadb96d030/High_Resolution_JPG-BK50CWK1X1280-02-04.jpg?imwidth=300",IN_STOCK,USD,Notify me,men-all.html
men-all,BKU03NK1ST-001,https://www.givenchy.com/us/en-US/small-g-zip-triangle-bag-in-mesh/BKU03NK1ST-001.html,Small G-Zip Triangle bag in mesh,$1050,"https://assets.givenchy.com/m/36b519f6fc9c1846/High_Resolution_JPG-BKU03NK1ST001-03-01.jpg?imwidth=300, https://assets.givenchy.com/m/2ea59dc5211dc7d/High_Resolution_JPG-BKU03NK1ST001-02-01.jpg?imwidth=300",IN_STOCK,USD,Notify me,men-all.html
men-all,BK50AZK1PH-001,https://www.givenchy.com/us/en-US/medium-antigona-sport-bag-in-coated-canvas/BK50AZK1PH-001.html,Medium Antigona Sport bag in coated canvas,$2050,"https://assets.givenchy.com/m/33eb61f9578d692b/High_Resolution_JPG-BK50AZK1PH001-03-01.jpg?imwidth=300, https://assets.givenchy.com/m/698d2563bbb63750/High_Resolution_JPG-BK50AZK1PH001-02-03.jpg?imwidth=300",IN_STOCK,USD,Notify me,men-all.html
men-all,BM60PQ146X-100,https://www.givenchy.com/us/en-US/shirt-in-4g-embroidered-poplin/BM60PQ146X-100.html,Shirt in 4G embroidered poplin,$550,"https://assets.givenchy.com/m/4e1a80aad873cb70/High_Resolution_JPG-BM60PQ146X100-03-01.jpg?imwidth=300, https://assets.givenchy.com/m/1a3fbb73b776378f/High_Resolution_JPG-BM60PQ146X100-02-01.jpg?imwidth=300",IN_STOCK,USD,Notify me,men-all.html
men-all,BH301AH19Z-100,https://www.givenchy.com/us/en-US/marshmallow-sandals-in-rubber/BH301AH19Z-100.html,Marshmallow sandals in rubber,$450,"https://assets.givenchy.com/m/4058ec53c0b926ee/High_Resolution_JPG-BH301AH19Z100-03-04.jpg?imwidth=300, https://assets.givenchy.com/m/dcf0a507bdb23d2/High_Resolution_JPG-BH301AH19Z100-03-01.jpg?imwidth=300",IN_STOCK,USD,Notify me,men-all.html
men-all,BM60YP154Z-001,https://www.givenchy.com/us/en-US/shirt-in-cotton-with-metal-details/BM60YP154Z-001.html,Shirt in cotton with metal details,$1350,"https://assets.givenchy.com/m/5cfe322d9cb76700/High_Resolution_JPG-BM60YP154Z001-03-01.jpg?imwidth=300, https://assets.givenchy.com/m/4aa5f99454795dc4/High_Resolution_JPG-BM60YP154Z001-02-01.jpg?imwidth=300",IN_STOCK,USD,Notify me,men-all.html
