product_id,category,product_name,description,price,main_image_url,additional_image_url,product_details_url,filename
FZX091AR82F05J3,mens-clothing,Sweater,Blue FF cotton and linen jumper,"$1,150.00",https://static.fendi.com/dam/is/image/fendi/FZX091AR82F05J3_01?wid=1000&hei=1000&hash=6fb075f4cc4f2995689a8b867f7fba70-18d3e26aabb,https://static.fendi.com/dam/is/image/fendi/FZX091AR82F05J3_99?wid=1000&hei=1000&hash=33d26e735a2fbe60fceef728def9291d-18d87b471cb,https://www.fendi.com/us-en/man/ready-to-wear/sweater-blue-ff-cotton-and-linen-jumper-fzx091ar82f05j3,mens-clothing.html
FB0979AR96F1MTK,mens-clothing,Pants,Beige canvas pants,"$1,150.00",https://static.fendi.com/dam/is/image/fendi/FB0979AR96F1MTK_01?wid=1000&hei=1000&hash=698d8ac36557d1d6a96603b3ede4e368-18d3e2289d3,https://static.fendi.com/dam/is/image/fendi/FB0979AR96F1MTK_99?wid=1000&hei=1000&hash=0545c45f14d6b74a9c8ca59cfe5fa184-18dd56b71c8,https://www.fendi.com/us-en/man/ready-to-wear/pants-beige-canvas-pants-fb0979ar96f1mtk,mens-clothing.html
FS1262AR6GF13IZ,mens-clothing,Shirt,Multicolor silk shirt,"$2,100.00",https://static.fendi.com/dam/is/image/fendi/FS1262AR6GF13IZ_01?wid=1000&hei=1000&hash=d6df68eb7e17ceb3d32d2621a959440d-18d3e37fdca,https://static.fendi.com/dam/is/image/fendi/FS1262AR6GF13IZ_99?wid=1000&hei=1000&hash=7fa1405c49ac746620279fb66a3a128b-18d87b3c932,https://www.fendi.com/us-en/man/ready-to-wear/shirt-multicolor-silk-shirt-fs1262ar6gf13iz,mens-clothing.html
FS1257AR5VF16H9,mens-clothing,Shirt,Light blue striped cotton shirt,$950.00,https://static.fendi.com/dam/is/image/fendi/FS1257AR5VF16H9_01?wid=1000&hei=1000&hash=3d658873ddba773da65fb208ef6b8363-18d3e3800e4,https://static.fendi.com/dam/is/image/fendi/FS1257AR5VF16H9_99?wid=1000&hei=1000&hash=df3ce281c453071a0976c6970cf888e5-18d87b5cb0e,https://www.fendi.com/us-en/man/ready-to-wear/shirt-light-blue-striped-cotton-shirt-fs1257ar5vf16h9,mens-clothing.html
FY0178AQJ9F0QA1,mens-clothing,Sweatshirt,Black jersey sweatshirt,$950.00,https://static.fendi.com/dam/is/image/fendi/FY0178AQJ9F0QA1_01?wid=1000&hei=1000&hash=b73533f736d16d45af7eb075b629587b-18bc96c9a65,https://static.fendi.com/dam/is/image/fendi/FY0178AQJ9F0QA1_99?wid=1000&hei=1000&hash=cd2beb96d64ff9991d6246f69b87c31d-18be13a84ba,https://www.fendi.com/us-en/man/ready-to-wear/coordinated-sets/sweatshirt-black-jersey-sweatshirt-fy0178aqj9f0qa1,mens-clothing.html
FW1165AQMWF0QA1,mens-clothing,Blouson,Canvas FF Eclissi jacket,"$3,750.00",https://static.fendi.com/dam/is/image/fendi/FW1165AQMWF0QA1_01?wid=1000&hei=1000&hash=3d5fca3004e3f89b987e230d809ee3fa-18bc96c61ec,https://static.fendi.com/dam/is/image/fendi/FW1165AQMWF0QA1_99?wid=1000&hei=1000&hash=c74f7755fecfd1589df96253f98b537e-18be13a9ee3,https://www.fendi.com/us-en/man/ready-to-wear/blouson-canvas-ff-eclissi-jacket-fw1165aqmwf0qa1,mens-clothing.html
FY0894AR6WF0QA1,mens-clothing,T-Shirt,Black cotton T-shirt,$770.00,https://static.fendi.com/dam/is/image/fendi/FY0894AR6WF0QA1_01?wid=1000&hei=1000&hash=b74fd5c9802fc4fb580758aec179e728-18d3e23e8f2,https://static.fendi.com/dam/is/image/fendi/FY0894AR6WF0QA1_03?wid=1000&hei=1000&hash=2ccd994ddf3e5b6d7a41528a8d4a0e3f-18d3e23ea82,https://www.fendi.com/us-en/man/ready-to-wear/t-shirt-black-cotton-t-shirt-fy0894ar6wf0qa1,mens-clothing.html
FY0936AR74F0QA1,mens-clothing,T-Shirt,Black cotton T-shirt,$650.00,https://static.fendi.com/dam/is/image/fendi/FY0936AR74F0QA1_01?wid=1000&hei=1000&hash=0d947ee7c1651b738673002e18e3541b-18d3e23e9c4,https://static.fendi.com/dam/is/image/fendi/FY0936AR74F0QA1_99?wid=1000&hei=1000&hash=b48f03d8778972ae36e05ce7ab863a70-18d87a39812,https://www.fendi.com/us-en/man/ready-to-wear/t-shirt-black-cotton-t-shirt-fy0936ar74f0qa1,mens-clothing.html
FY3938APN0F0QA1,mens-clothing,Sweatshirt,Black jersey sweatshirt,"$1,150.00",https://static.fendi.com/dam/is/image/fendi/FY3938APN0F0QA1_01?wid=1000&hei=1000&hash=4b43ef027c467cabc9e157cc539337ff-18a2657a590,https://static.fendi.com/dam/is/image/fendi/FY3938APN0F0QA1_99?wid=1000&hei=1000&hash=e0315b0c530bf79fed0347797fa1254b-18a75861c70,https://www.fendi.com/us-en/man/essentials-for-men/sweatshirt-black-jersey-sweatshirt-fy3938apn0f0qa1,mens-clothing.html
FY1281AR6SF0QA1,mens-clothing,Sweater,Black cotton turtleneck,$980.00,https://static.fendi.com/dam/is/image/fendi/FY1281AR6SF0QA1_01?wid=1000&hei=1000&hash=d4837c07b18d75178ee47f5deb9b167e-18d3e26c86e,https://static.fendi.com/dam/is/image/fendi/FY1281AR6SF0QA1_99?wid=1000&hei=1000&hash=547259b5d17f523cfb6f214ae9be7e4b-18d87b40d21,https://www.fendi.com/us-en/man/ready-to-wear/sweater-black-cotton-turtleneck-fy1281ar6sf0qa1,mens-clothing.html
