"user_defined_categories","category","title","price","currency","originalPrice","productLink","primaryImage","alternateGalleryImages","categoryDescription","subclass"
"men","men.json?","Outline Sneaker In Grey Grained Leather","740.0","USD","740.0","https://www.bally.com/en/products/outline-sneaker-in-grey-grained-leather-6306797","https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MSK09S_VT238_U788_01.jpg?v=1698975358","https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MSK09S_VT238_U788_01.jpg?v=1698975358 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MSK09S_VT238_U788_03.jpg?v=1698975427 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MSK09S_VT238_U788_04.jpg?v=1698975453 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MSK09S_VT238_U788_05.jpg?v=1698975478 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MSK09S_VT238_U788_06.jpg?v=1698975517","SHOES","SNEAKER"
"men","men.json?","Outline Sneaker In White Leather","740.0","USD","740.0","https://www.bally.com/en/products/outline-sneaker-in-white-leather-6306540","https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MSK09S_VT592_I0O9_01.jpg?v=1698975371","https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MSK09S_VT592_I0O9_01.jpg?v=1698975371 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MSK09S_VT592_I0O9_02.jpg?v=1705477222 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MSK09S_VT592_I0O9_03.jpg?v=1698975404 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MSK09S_VT592_I0O9_04.jpg?v=1698975462 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MSK09S_VT592_I0O9_05.jpg?v=1698975480 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MSK09S_VT592_I0O9_06.jpg?v=1698975515","SHOES","SNEAKER"
"men","men.json?","Outline Sneaker in Black Nylon","570.0","USD","570.0","https://www.bally.com/en/products/outline-sneaker-in-black-nylon-6306578","https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MSK09V_TE032_U901_01.jpg?v=1700645954","https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MSK09V_TE032_U901_01.jpg?v=1700645954 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MSK09V_TE032_U901_03.jpg?v=1700646300 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MSK09V_TE032_U901_04.jpg?v=1700646550 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MSK09V_TE032_U901_05.jpg?v=1700646661 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MSK09V_TE032_U901_06.jpg?v=1700646854","SHOES","SNEAKER"
"men","men.json?","Outline Sneaker in Brown Nylon","620.0","USD","620.0","https://www.bally.com/en/products/outline-sneaker-in-brown-nylon-6306801","https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MSK09W_TE041_I8N8_01.jpg?v=1700645880","https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MSK09W_TE041_I8N8_01.jpg?v=1700645880 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MSK09W_TE041_I8N8_03.jpg?v=1700646297 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MSK09W_TE041_I8N8_04.jpg?v=1700646536 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MSK09W_TE041_I8N8_05.jpg?v=1700646688 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MSK09W_TE041_I8N8_06.jpg?v=1700646843","SHOES","SNEAKER"
"men","men.json?","Code Briefcase In Black Nylon","990.0","USD","990.0","https://www.bally.com/en/products/code-briefcase-in-black-nylon-6306626","https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MAB01L_NY220_U901P_01.jpg?v=1706160794","https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MAB01L_NY220_U901P_01.jpg?v=1706160794 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MAB01L_NY220_U901P_03.jpg?v=1706160942 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MAB01L_NY220_U901P_04.jpg?v=1706161011 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MAB01L_NY220_U901P_05.jpg?v=1706161039 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MAB01L_NY220_U901P_06.jpg?v=1706161073","ACC LLG","BUSINESS_BAG"
"men","men.json?","Code Belt Bag in Black Nylon","570.0","USD","570.0","https://www.bally.com/en/products/code-belt-bag-in-black-nylon-6306436","https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MAS01W_NY223_U901P_01.jpg?v=1710995923","https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MAS01W_NY223_U901P_01.jpg?v=1710995923 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MAS01W_NY223_U901P_04.jpg?v=1700646235 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MAS01W_NY223_U901P_05.jpg?v=1700646548 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MAS01W_NY223_U901P_06.jpg?v=1700646602","ACC LLG","BUM_BAG"
"men","men.json?","Code Slingbag in Nylon","710.0","USD","710.0","https://www.bally.com/en/products/code-slingbag-in-nylon-6306650","https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MAS01S_NY223_U901P_01.jpg?v=1709357522","https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MAS01S_NY223_U901P_01.jpg?v=1709357522 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MAS01S_NY223_U901P_03.jpg?v=1709357549 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MAS01S_NY223_U901P_04.jpg?v=1709357624 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MAS01S_NY223_U901P_05.jpg?v=1709357662 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MAS01S_NY223_U901P_06.jpg?v=1709357687","ACC LLG","SLING_BAG"
"men","men.json?","Code Crossbody Bag in Nylon","760.0","USD","760.0","https://www.bally.com/en/products/code-crossbody-bag-in-nylon-6306632","https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MAC02O_NY223_U901P_01.jpg?v=1709875816","https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MAC02O_NY223_U901P_01.jpg?v=1709875816 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MAC02O_NY223_U901P_03.jpg?v=1709875915 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MAC02O_NY223_U901P_04.jpg?v=1709876021 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MAC02O_NY223_U901P_05.jpg?v=1709876100 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MAC02O_NY223_U901P_06.jpg?v=1709876133","ACC LLG","CROSS_BODY"
"men","men.json?","Ribbon Wallet In Black Leather","420.0","USD","420.0","https://www.bally.com/en/products/ribbon-wallet-in-black-leather-6304930","https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MLW04E_VT434_U901P_01.jpg?v=1698156307","https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MLW04E_VT434_U901P_01.jpg?v=1698156307 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MLW04E_VT434_U901P_02.jpg?v=1698167491 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MLW04E_VT434_U901P_03.jpg?v=1698169425 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MLW04E_VT434_U901P_04.jpg?v=1698179404","ACC SLG","WALLET"
"men","men.json?","Polo Shirt in Navy Blue Cotton","290.0","USD","290.0","https://www.bally.com/en/products/polo-shirt-in-navy-blue-cotton-6306528","https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MJE04O_CO228_U546_01.jpg?v=1700645763","https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MJE04O_CO228_U546_01.jpg?v=1700645763 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MJE04O_CO228_U546_04.jpg?v=1700646144 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MJE04O_CO228_U546_07.jpg?v=1700646394","RTW CLOTHING","POLO"
