category,product_name,product_id,price,discount_price,product_url,image_urls,color_name,currency,filename,relative_path
men-clothing-knitwear-hoodies,RESORT SWEATER IN ENDLESS OPERATED WOOL,MG00022UR701937500,525,,https://us.herno.com/en/men/knitwear/sweaters-and-cardigan/resort-sweater-in-endless-operated-wool-olive-green-MG00022UR701937500.html,https://us.herno.com/dw/image/v2/BGRP_PRD/on/demandware.static/-/Sites-33/default/dw537e0da7/images/zoom/MG00022UR70193_7500_0.jpg?sw=710&sh=900&sm=fit,Olive Green,USD,men.html,men.html
men-accessories-hats,RESORT BEANIE IN INFINITY WOOL RIB,BER0002UR702197500,130,,https://us.herno.com/en/men/accessories/hats/resort-beanie-in-infinity-wool-rib-olive-green-BER0002UR702197500.html,https://us.herno.com/dw/image/v2/BGRP_PRD/on/demandware.static/-/Sites-33/default/dw41888ff3/images/zoom/BER0002UR70219_7500_0.jpg?sw=710&sh=900&sm=fit,Olive Green,USD,men.html,men.html
men-clothing-outerwear-shirts,RESORT SHIRT IN CASHMERE SILK,GI00050UR380877205,1.745,,https://us.herno.com/en/men/outerwear/shackets/resort-shirt-in-cashmere-silk-sage-GI00050UR380877205.html,https://us.herno.com/dw/image/v2/BGRP_PRD/on/demandware.static/-/Sites-33/default/dwf2b0d1d7/images/zoom/GI00050UR38087_7205_0.jpg?sw=710&sh=900&sm=fit,Sage,USD,men.html,men.html
men-accessories-scarves,RESORT SCARF IN INFINITY WOOL RIB,SCP0002UR702197500,195,,https://us.herno.com/en/men/accessories/scarves/resort-scarf-in-infinity-wool-rib-olive-green-SCP0002UR702197500.html,https://us.herno.com/dw/image/v2/BGRP_PRD/on/demandware.static/-/Sites-33/default/dwdc30280f/images/zoom/SCP0002UR70219_7500_0.jpg?sw=710&sh=900&sm=fit,Olive Green,USD,men.html,men.html
men-clothing-parka,RESORT JACKET IN FOG WOOL,GC00009UR333739433,1.835,,https://us.herno.com/en/men/outerwear/parka-and-jackets/resort-jacket-in-fog-wool-light-grey-GC00009UR333739433.html,https://us.herno.com/dw/image/v2/BGRP_PRD/on/demandware.static/-/Sites-33/default/dw6a6fb18a/images/zoom/GC00009UR33373_9433_0.jpg?sw=710&sh=900&sm=fit,Light Grey,USD,men.html,men.html
men-accessories-hats,RESORT BEANIE IN INFINITY WOOL RIB,BER0002UR702199404,130,,https://us.herno.com/en/men/accessories/hats/resort-beanie-in-infinity-wool-rib-putty-BER0002UR702199404.html,https://us.herno.com/dw/image/v2/BGRP_PRD/on/demandware.static/-/Sites-33/default/dwa93cdf73/images/zoom/BER0002UR70219_9404_0.jpg?sw=710&sh=900&sm=fit,Putty,USD,men.html,men.html
men-clothing-accessories,RESORT SWIM SHORTS IN NEW LINO,CST0001UR17105Z1985,350,,https://us.herno.com/en/men/accessories/resort-swim-shorts-in-new-lino-chantilly-CST0001UR17105Z1985.html,https://us.herno.com/dw/image/v2/BGRP_PRD/on/demandware.static/-/Sites-33/default/dw16ef7ff3/images/zoom/CST0001UR17105Z_1985_0.jpg?sw=710&sh=900&sm=fit,Chantilly,USD,men.html,men.html
men-clothing-outerwear-shirts,RESORT SHIRT IN DAMASCO,GI00060UR33378R9433,825,,https://us.herno.com/en/men/outerwear/shackets/resort-shirt-in-damasco-light-grey-GI00060UR33378R9433.html,https://us.herno.com/dw/image/v2/BGRP_PRD/on/demandware.static/-/Sites-33/default/dw52f87d42/images/zoom/GI00060UR33378R_9433_0.jpg?sw=710&sh=900&sm=fit,Light Grey,USD,men.html,men.html
men-accessories-hats,RESORT BEANIE IN INFINITY WOOL RIB,BER0002UR702199200,130,,https://us.herno.com/en/men/accessories/hats/resort-beanie-in-infinity-wool-rib-navy-blue-BER0002UR702199200.html,https://us.herno.com/dw/image/v2/BGRP_PRD/on/demandware.static/-/Sites-33/default/dw794f447c/images/zoom/BER0002UR70219_9200_0.jpg?sw=710&sh=900&sm=fit,Navy Blue,USD,men.html,men.html
men-clothing-knitwear-tshirt-polo,RESORT T-SHIRT IN WARM JERSEY KNIT EFFECT,JG00034UR540079200,270,,https://us.herno.com/en/men/knitwear/t-shirts-and-polo-shirts/resort-t-shirt-in-warm-jersey-knit-effect-navy-blue-JG00034UR540079200.html,https://us.herno.com/dw/image/v2/BGRP_PRD/on/demandware.static/-/Sites-33/default/dwbe9074db/images/zoom/JG00034UR54007_9200_0.jpg?sw=710&sh=900&sm=fit,Navy Blue,USD,men.html,men.html
men-apparel-trousers,RESORT TROUSERS IN COUPLED WOOL PIQUE,PT00017UR560139200,610,,https://us.herno.com/en/men/clothing/trousers/resort-trousers-in-coupled-wool-pique-navy-blue-PT00017UR560139200.html,https://us.herno.com/dw/image/v2/BGRP_PRD/on/demandware.static/-/Sites-33/default/dw431746f2/images/zoom/PT00017UR56013_9200_0.jpg?sw=710&sh=900&sm=fit,Navy Blue,USD,men.html,men.html
men-clothing-knitwear-tshirt-polo,RESORT T-SHIRT IN SOFT WOOL JERSEY,JG00036UR520689200,275,,https://us.herno.com/en/men/knitwear/t-shirts-and-polo-shirts/resort-t-shirt-in-soft-wool-jersey-navy-blue-JG00036UR520689200.html,https://us.herno.com/dw/image/v2/BGRP_PRD/on/demandware.static/-/Sites-33/default/dwf17a26fc/images/zoom/JG00036UR52068_9200_0.jpg?sw=710&sh=900&sm=fit,Navy Blue,USD,men.html,men.html
men-clothing-outerwear-shirts,RESORT SHIRT IN FOG WOOL,GI00063UR333739121,1.645,,https://us.herno.com/en/men/outerwear/shackets/resort-shirt-in-fog-wool-denim-GI00063UR333739121.html,https://us.herno.com/dw/image/v2/BGRP_PRD/on/demandware.static/-/Sites-33/default/dwe4087a54/images/zoom/GI00063UR33373_9121_0.jpg?sw=710&sh=900&sm=fit,Denim,USD,men.html,men.html
men-clothing-bomber,RESORT BOMBER JACKET IN NYLON ULTRALIGHT,PI00094UR12017Z9200,840,,https://us.herno.com/en/men/outerwear/bomber/resort-bomber-jacket-in-nylon-ultralight-navy-blue-PI00094UR12017Z9200.html,https://us.herno.com/dw/image/v2/BGRP_PRD/on/demandware.static/-/Sites-33/default/dwf28a0cd2/images/zoom/PI00094UR12017Z_9200_0.jpg?sw=710&sh=900&sm=fit,Navy Blue,USD,men.html,men.html
men-apparel-trousers,RESORT TROUSERS IN LIGHT NYLON STRETCH,PT00002UR12431SZ9201,360,,https://us.herno.com/en/men/clothing/trousers/resort-trousers-in-light-nylon-stretch-blue-PT00002UR12431SZ9201.html,https://us.herno.com/dw/image/v2/BGRP_PRD/on/demandware.static/-/Sites-33/default/dw080869e5/images/zoom/PT00002UR12431SZ_9201_0.jpg?sw=710&sh=900&sm=fit,Blue,USD,men.html,men.html
men-clothing-bomber,RESORT BOMBER JACKET IN SOFT BUNNY,GI00055UR334179200,1.365,,https://us.herno.com/en/men/outerwear/bomber/resort-bomber-jacket-in-soft-bunny-navy-blue-GI00055UR334179200.html,https://us.herno.com/dw/image/v2/BGRP_PRD/on/demandware.static/-/Sites-33/default/dw13682a93/images/zoom/GI00055UR33417_9200_0.jpg?sw=710&sh=900&sm=fit,Navy Blue,USD,men.html,men.html
men-clothing-knitwear-hoodies,RESORT CARDIGAN IN INFINITY WOOL RIB,MC00036UR702189200,610,,https://us.herno.com/en/men/knitwear/sweaters-and-cardigan/resort-cardigan-in-infinity-wool-rib-navy-blue-MC00036UR702189200.html,https://us.herno.com/dw/image/v2/BGRP_PRD/on/demandware.static/-/Sites-33/default/dwce36605e/images/zoom/MC00036UR70218_9200_0.jpg?sw=710&sh=900&sm=fit,Navy Blue,USD,men.html,men.html
men-clothing-knitwear-shirts,RESORT SHIRT IN BLANCHE JERSEY,CM00005UR12655S1000,435,,https://us.herno.com/en/men/knitwear/shirts/resort-shirt-in-blanche-jersey-white-CM00005UR12655S1000.html,https://us.herno.com/dw/image/v2/BGRP_PRD/on/demandware.static/-/Sites-33/default/dw32ea881b/images/zoom/CM00005UR12655S_1000_0.jpg?sw=710&sh=900&sm=fit,White,USD,men.html,men.html
men-clothing-knitwear-hoodies,RESORT SWEATER IN PLAIN CASHMERE,MG00024UR710229200,790,,https://us.herno.com/en/men/knitwear/sweaters-and-cardigan/resort-sweater-in-plain-cashmere-navy-blue-MG00024UR710229200.html,https://us.herno.com/dw/image/v2/BGRP_PRD/on/demandware.static/-/Sites-33/default/dw86058870/images/zoom/MG00024UR71022_9200_0.jpg?sw=710&sh=900&sm=fit,Navy Blue,USD,men.html,men.html
