product_id,product_name,price,category,image_urls,product_url,colors,sale_price,original_price,discount,filename
FN-MN-SHIR000755,Button-up shirt,$470,men_clothing,"https://www.acnestudios.com/dw/image/v2/AAXV_PRD/on/demandware.static/-/Sites-acne-product-catalog/default/dwc9e07f73/images/BB/BB0571-/2000x/BB0571-AEG_A.jpg?sw=560&sh=840,https://www.acnestudios.com/dw/image/v2/AAXV_PRD/on/demandware.static/-/Sites-acne-product-catalog/default/dw66ee601a/images/BB/BB0571-/2000x/BB0571-AEG_PLP_HOVER.jpg?sw=560&sh=840",https://www.acnestudios.com/us/en/button-up-shirt-off-white/BB0571-AEG.html?g=man,,,$470,,men_clothing.html
FN-MN-SHIR000776,Stripe button-up shirt,$470,men_clothing,"https://www.acnestudios.com/dw/image/v2/AAXV_PRD/on/demandware.static/-/Sites-acne-product-catalog/default/dwffbb16ae/images/BB/BB0584-/2000x/BB0584-ANG_A.jpg?sw=560&sh=840,https://www.acnestudios.com/dw/image/v2/AAXV_PRD/on/demandware.static/-/Sites-acne-product-catalog/default/dw937f5c7e/images/BB/BB0584-/2000x/BB0584-ANG_PLP_HOVER.jpg?sw=560&sh=840",https://www.acnestudios.com/us/en/stripe-button-up-shirt-pink-white/BB0584-ANG.html?g=man,,,$470,,men_clothing.html
FN-MN-SHIR000771,Print button-up shirt,$650,men_clothing,"https://www.acnestudios.com/dw/image/v2/AAXV_PRD/on/demandware.static/-/Sites-acne-product-catalog/default/dw64886592/images/BB/BB0586-/2000x/BB0586-BR0_A.jpg?sw=560&sh=840,https://www.acnestudios.com/dw/image/v2/AAXV_PRD/on/demandware.static/-/Sites-acne-product-catalog/default/dwaa7c534a/images/BB/BB0586-/2000x/BB0586-BR0_PLP_HOVER.jpg?sw=560&sh=840",https://www.acnestudios.com/us/en/print-button-up-shirt-pink-black/BB0586-BR0.html?g=man,,,$650,,men_clothing.html
FN-MN-SHIR000763,Short sleeve shirt,$560,men_clothing,"https://www.acnestudios.com/dw/image/v2/AAXV_PRD/on/demandware.static/-/Sites-acne-product-catalog/default/dw3beaf663/images/BB/BB0555-/2000x/BB0555-BDZ_A.jpg?sw=560&sh=840,https://www.acnestudios.com/dw/image/v2/AAXV_PRD/on/demandware.static/-/Sites-acne-product-catalog/default/dw227ab34b/images/BB/BB0555-/2000x/BB0555-BDZ_PLP_HOVER.jpg?sw=560&sh=840",https://www.acnestudios.com/us/en/short-sleeve-shirt-black-multicolor/BB0555-BDZ.html?g=man,,,$560,,men_clothing.html
FN-UX-SHIR000026,Denim shirt - Relaxed fit,$560,men_clothing,"https://www.acnestudios.com/dw/image/v2/AAXV_PRD/on/demandware.static/-/Sites-acne-product-catalog/default/dwbbdf7ba3/images/CB/CB0070-/2000x/CB0070-228_A.jpg?sw=560&sh=840,https://www.acnestudios.com/dw/image/v2/AAXV_PRD/on/demandware.static/-/Sites-acne-product-catalog/default/dw730ac109/images/CB/CB0070-/2000x/CB0070-228_PLP_HOVER.jpg?sw=560&sh=840",https://www.acnestudios.com/us/en/denim-shirt---relaxed-fit-light-blue/CB0070-228.html?g=man,,,$560,,men_clothing.html
FN-UX-SHIR000018,Denim shirt - Relaxed fit,$560,men_clothing,"https://www.acnestudios.com/dw/image/v2/AAXV_PRD/on/demandware.static/-/Sites-acne-product-catalog/default/dwafe2f124/images/CB/CB0073-/2000x/CB0073-BUF_A.jpg?sw=560&sh=840,https://www.acnestudios.com/dw/image/v2/AAXV_PRD/on/demandware.static/-/Sites-acne-product-catalog/default/dw54747b1b/images/CB/CB0073-/2000x/CB0073-BUF_PLP_HOVER.jpg?sw=560&sh=840",https://www.acnestudios.com/us/en/denim-shirt---relaxed-fit-blue-beige/CB0073-BUF.html?g=man,,,$560,,men_clothing.html
FN-MN-SHIR000761,Print hooded jacket,$500,men_clothing,"https://www.acnestudios.com/dw/image/v2/AAXV_PRD/on/demandware.static/-/Sites-acne-product-catalog/default/dwc4e0443a/images/BB/BB0577-/2000x/BB0577-BHM_A.jpg?sw=560&sh=840,https://www.acnestudios.com/dw/image/v2/AAXV_PRD/on/demandware.static/-/Sites-acne-product-catalog/default/dw491135b6/images/BB/BB0577-/2000x/BB0577-BHM_PLP_HOVER.jpg?sw=560&sh=840",https://www.acnestudios.com/us/en/print-hooded-jacket-green-multi/BB0577-BHM.html?g=man,,,$500,,men_clothing.html
FN-UX-SHIR000020,Denim shirt - Relaxed fit,$540,men_clothing,"https://www.acnestudios.com/dw/image/v2/AAXV_PRD/on/demandware.static/-/Sites-acne-product-catalog/default/dwb303a549/images/CB/CB0072-/2000x/CB0072-BBJ_A.jpg?sw=560&sh=840,https://www.acnestudios.com/dw/image/v2/AAXV_PRD/on/demandware.static/-/Sites-acne-product-catalog/default/dwa993700f/images/CB/CB0072-/2000x/CB0072-BBJ_PLP_HOVER.jpg?sw=560&sh=840",https://www.acnestudios.com/us/en/denim-shirt---relaxed-fit-black-beige/CB0072-BBJ.html?g=man,,,$540,,men_clothing.html
FN-MN-SHIR000757,Button-up shirt foil print,$620,men_clothing,"https://www.acnestudios.com/dw/image/v2/AAXV_PRD/on/demandware.static/-/Sites-acne-product-catalog/default/dw279c7282/images/BB/BB0572-/2000x/BB0572-BIA_A.jpg?sw=560&sh=840,https://www.acnestudios.com/dw/image/v2/AAXV_PRD/on/demandware.static/-/Sites-acne-product-catalog/default/dwb320c037/images/BB/BB0572-/2000x/BB0572-BIA_PLP_HOVER.jpg?sw=560&sh=840",https://www.acnestudios.com/us/en/button-up-shirt-foil-print-pink-multicolor/BB0572-BIA.html?g=man,,,$620,,men_clothing.html
FN-MN-SHIR000762,Print button-up shirt,$560,men_clothing,"https://www.acnestudios.com/dw/image/v2/AAXV_PRD/on/demandware.static/-/Sites-acne-product-catalog/default/dwd0de2963/images/BB/BB0578-/2000x/BB0578-BHM_A.jpg?sw=560&sh=840,https://www.acnestudios.com/dw/image/v2/AAXV_PRD/on/demandware.static/-/Sites-acne-product-catalog/default/dwa98f43ae/images/BB/BB0578-/2000x/BB0578-BHM_PLP_HOVER.jpg?sw=560&sh=840",https://www.acnestudios.com/us/en/print-button-up-shirt-green-multi/BB0578-BHM.html?g=man,,,$560,,men_clothing.html
