category,name,product_id,product_url,image_url,other_images,full_price,discount_price,stock,color,tag(s),filename
c-men,'KENZO Utility' cotton cap,FE58AC511F42.21,https://www.kenzo.com/en-us/kenzo-utility-cotton-cap/FE58AC511F42.21.html,https://media.kenzo.com/b2cprd/FE58AC511F42.21_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE58AC511F42.21_F_04.jpg?twic=v1/cover=4:5/resize=706,$ 170.00,,,"dark beige, medium red, navy blue, +1 more",,c-men.html
c-men,Small 'KENZO Utility' canvas tote bag,FE58SA910F35.03,https://www.kenzo.com/en-us/small-kenzo-utility-canvas-tote-bag/FE58SA910F35.03.html,https://media.kenzo.com/b2cprd/FE58SA910F35.03_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE58SA910F35.03_P_02.jpg?twic=v1/cover=4:5/resize=706,$ 325.00,,Back in Stock,"ecru, black",,c-men.html
c-men,Unisex sunglasses,LE5SUN77U23E.13,https://www.kenzo.com/en-us/unisex-sunglasses/LE5SUN77U23E.13.html,https://media.kenzo.com/b2cprd/LE5SUN77U23E.13_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/LE5SUN77U23E.13_P_02.jpg?twic=v1/cover=4:5/resize=706,$ 360.00,,Out of Stock,,,c-men.html
c-men,Unisex sunglasses,LE5SUN80U53A.90,https://www.kenzo.com/en-us/unisex-sunglasses/LE5SUN80U53A.90.html,https://media.kenzo.com/b2cprd/LE5SUN80U53A.90_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/LE5SUN80U53A.90_P_02.jpg?twic=v1/cover=4:5/resize=706,$ 310.00,,Out of Stock,,,c-men.html
c-men,'KENZOGRAM' backpack,FD65SA503FW1.99,https://www.kenzo.com/en-us/kenzogram-backpack/FD65SA503FW1.99.html,https://media.kenzo.com/b2cprd/FD65SA503FW1.99_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FD65SA503FW1.99_P_02.jpg?twic=v1/cover=4:5/resize=706,$ 470.00,,Back in Stock,,,c-men.html
c-men,'KENZO Stamp' set of lapel pins,FE58AC121M01.MU,https://www.kenzo.com/en-us/kenzo-stamp-set-of-lapel-pins/FE58AC121M01.MU.html,https://media.kenzo.com/b2cprd/FE58AC121M01.MU_P_02.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE58AC121M01.MU_P_01.jpg?twic=v1/cover=4:5/resize=706,$ 110.00,$ 66.00,Back in Stock,,,c-men.html
c-men,Women's sunglasses,LE5SUN82U32B.OR,https://www.kenzo.com/en-us/womens-sunglasses/LE5SUN82U32B.OR.html,https://media.kenzo.com/b2cprd/LE5SUN82U32B.OR_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/LE5SUN82U32B.OR_F_01.jpg?twic=v1/cover=4:5/resize=706,$ 335.00,,Out of Stock,,,c-men.html
c-men,'KENZO Crest' iPhone 14 Pro Max case,FD5CO14PMRBF.27,https://www.kenzo.com/en-us/kenzo-crest-iphone-14-pro-max-case/FD5CO14PMRBF.27.html,https://media.kenzo.com/b2cprd/FD5CO14PMRBF.27_P_01.jpg?twic=v1/cover=4:5/resize=706,,$ 95.00,,,,,c-men.html
c-men,'KENZO Elephant' embroidered sweatshirt,FD65SW1274MF.22,https://www.kenzo.com/en-us/kenzo-elephant-embroidered-sweatshirt/FD65SW1274MF.22.html,https://media.kenzo.com/b2cprd/FD65SW1274MF.22_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FD65SW1274MF.22_H_03.jpg?twic=v1/cover=4:5/resize=706,$ 435.00,$ 305.00,,"cherry, black",,c-men.html
c-men,'KENZO Paris' beach towel,FD5KLABELJDC.26H,https://www.kenzo.com/en-us/kenzo-paris-beach-towel/FD5KLABELJDC.26H.html,https://media.kenzo.com/b2cprd/FD5KLABELJDC.26H_P_01.jpg?twic=v1/cover=4:5/resize=706,,$ 180.00,,Back in Stock,"navy blue, hot red",,c-men.html
c-men,'KENZO by Verdy' oversized T-shirt,FE55TS1914SY.39,https://www.kenzo.com/en-us/kenzo-by-verdy-oversized-t-shirt/FE55TS1914SY.39.html,https://media.kenzo.com/b2cprd/FE55TS1914SY.39_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE55TS1914SY.39_H_01.jpg?twic=v1/cover=4:5/resize=706,$ 255.00,,,"off white, black, lemon, +2 more",,c-men.html
c-men,'Bicolor KENZO Paris' embroidered cardigan,FE55CA3833LA.99,https://www.kenzo.com/en-us/bicolor-kenzo-paris-embroidered-cardigan/FE55CA3833LA.99.html,https://media.kenzo.com/b2cprd/FE55CA3833LA.99_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE55CA3833LA.99_H_05.jpg?twic=v1/cover=4:5/resize=706,$ 610.00,,,,,c-men.html
c-men,Men's sunglasses,LE5SUN85U52A.90,https://www.kenzo.com/en-us/mens-sunglasses/LE5SUN85U52A.90.html,https://media.kenzo.com/b2cprd/LE5SUN85U52A.90_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/LE5SUN85U52A.90_P_02.jpg?twic=v1/cover=4:5/resize=706,$ 310.00,$ 186.00,Out of Stock,,,c-men.html
c-men,'KENZO Paris' necklace,FD55BI407M03.21,https://www.kenzo.com/en-us/kenzo-paris-necklace/FD55BI407M03.21.html,https://media.kenzo.com/b2cprd/FD55BI407M03.21_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FD55BI407M03.21_F_01.jpg?twic=v1/cover=4:5/resize=706,$ 445.00,,,,,c-men.html
c-men,'KENZO Paris' beach towel,FD5KLABHOJDC.26,https://www.kenzo.com/en-us/kenzo-paris-beach-towel/FD5KLABHOJDC.26.html,https://media.kenzo.com/b2cprd/FD5KLABHOJDC.26_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FD5KLABHOJDC.26_P_03.jpg?twic=v1/cover=4:5/resize=706,$ 180.00,,Back in Stock,"white, deep fuschia, sky blue",,c-men.html
