user_category,product_url,product_name,price,discounted_price,image_urls,sizes,availability,label,filename
shoes,/products/bk0008hab1e03nckbe-brycy-sneakers-nude-beige,Brycy Sneakers,495,297,"//us.isabelmarant.com/cdn/shop/files/24PBK0008HA-B1E03N-CKBE-R.jpg?v=1713793634&width=1200, //us.isabelmarant.com/cdn/shop/files/24PBK0008HA-B1E03N-CKBE-E.jpg?v=1713793634&width=1200","39, 40, 41, 42, 43, 44, 45","not available, not available, available, available, available, available, available",,shoes.html
shoes,/products/bo0011faa1a12s01bk-campa-ankle-boots-black,Campa ankle boots,890,,"//us.isabelmarant.com/cdn/shop/files/23ABO0011FA-A1A12S-01BK-R.jpg?v=1713601960&width=480, //us.isabelmarant.com/cdn/shop/files/23ABO0011FA-A1A12S-01BK-D.jpg?v=1713601960&width=480","35, 36, 37, 38, 39, 40, 41","not available, available, available, available, available, available, available",,shoes.html
shoes,/products/ep0001faa1c71s30bu-canae-espadrilles-blue,Canae Espadrilles,290,,"//us.isabelmarant.com/cdn/shop/files/23PEP0001FA-A1C71S-30BU-R.jpg?v=1713601903&width=1200, //us.isabelmarant.com/cdn/shop/files/23PEP0001FA-A1C71S-30BU-F.jpg?v=1713601903&width=1200","35, 36, 37, 38, 39, 40, 41","available, available, not available, available, available, not available, available",,shoes.html
shoes,/products/ep0001faa1c71s90be-canae-espadrilles-beige,Canae Espadrilles,290,,"//us.isabelmarant.com/cdn/shop/files/23PEP0001FA-A1C71S-90BE-R.jpg?v=1713601661&width=1200, //us.isabelmarant.com/cdn/shop/files/23PEP0001FA-A1C71S-90BE-D.jpg?v=1713601661&width=1200","35, 36, 37, 38, 39, 40, 41","not available, available, available, available, available, available, available",,shoes.html
shoes,/products/ep0001fab1c02s01bk-canae-espadrilles-black,Canae Espadrilles,395,,"//us.isabelmarant.com/cdn/shop/files/24PEP0001FA-B1C02S-01BK-F.jpg?v=1713601585&width=480, //us.isabelmarant.com/cdn/shop/files/24PEP0001FA-B1C02S-01BK-A.jpg?v=1713762301&width=1200","35, 36, 37, 38, 39, 40, 41","not available, available, available, available, not available, not available, not available",,shoes.html
shoes,/products/bo0010faa1a12s01bk-castay-chelsea-boots-black,Castay Chelsea Boots,790,,"//us.isabelmarant.com/cdn/shop/files/23PBO0010FA-A1A12S-01BK-R.jpg?v=1713972399&width=480, //us.isabelmarant.com/cdn/shop/files/23PBO0010FA-A1A12S-01BK-A.jpg?v=1713972399&width=480","35, 36, 37, 38, 39, 40, 41","available, available, available, available, available, available, available",,shoes.html
shoes,/products/bo0101fab1a32s01bk-ceilee-boots-black,Ceilee boots,860,,"//us.isabelmarant.com/cdn/shop/files/24PBO0101FA-B1A32S-01BK-R.jpg?v=1713972444&width=1200, //us.isabelmarant.com/cdn/shop/files/24PBO0101FA-B1A32S-01BK-D.jpg?v=1713972444&width=1200","35, 36, 37, 38, 39, 40, 41","not available, available, available, available, available, available, available",,shoes.html
shoes,/products/bo0005faa1a07s02fk-dahope-cowboy-boots-black,Dahope Cowboy Boots,990,,"//us.isabelmarant.com/cdn/shop/files/23PBO0005FA-A1A07S-02FK-R.jpg?v=1713603052&width=1200, //us.isabelmarant.com/cdn/shop/files/23PBO0005FA-A1A07S-02FK-D.jpg?v=1713603052&width=1200","35, 36, 37, 38, 39, 40, 41","not available, available, available, available, available, available, available",,shoes.html
shoes,/products/bo0005faa1a07s50ta-dahope-cowboy-boots-taupe,Dahope Cowboy Boots,990,,"//us.isabelmarant.com/cdn/shop/files/23PBO0005FA-A1A07S-50TA-R.jpg?v=1713601563&width=480, //us.isabelmarant.com/cdn/shop/files/23PBO0005FA-A1A07S-50TA-E.jpg?v=1713601563&width=480","35, 36, 37, 38, 39, 40, 41","not available, available, available, available, available, available, available",,shoes.html
shoes,/products/bo0007faa1a05s01bk-darizo-boots-black,DARIZO BOOTS,950,,"//us.isabelmarant.com/cdn/shop/files/23PBO0007FA-A1A05S-01BK-R.jpg?v=1713791717&width=1200, //us.isabelmarant.com/cdn/shop/files/23PBO0007FA-A1A05S-01BK-A.jpg?v=1713791717&width=1200","35, 36, 37, 38, 39, 40, 41","not available, available, available, available, available, available, available",,shoes.html
