category,name,product_id,product_url,image_url,full_price,discount_price,tag(s),filename
women_clothing,EKD Cotton Silk Cardigan,80703281,https://us.burberry.com/ekd-cotton-silk-cardigan-p80703281,https://assets.burberry.com/is/image/Burberryltd/6712D003-06FF-4CA5-A26A-A3B0C716864A?$BBY_V3_SL_1.36$&wid=581&hei=788,"$1,450.00",,,women_clothing.html
women_clothing,EKD Cotton Silk Polo Shirt,80703301,https://us.burberry.com/ekd-cotton-silk-polo-shirt-p80703301,https://assets.burberry.com/is/image/Burberryltd/D076ADAC-1FB4-4BFB-918A-6B412A82E794?$BBY_V3_SL_1.36$&wid=581&hei=788,$990.00,,,women_clothing.html
women_clothing,EKD Cotton Silk Cardigan,80703271,https://us.burberry.com/ekd-cotton-silk-cardigan-p80703271,https://assets.burberry.com/is/image/Burberryltd/0E5D2B75-982B-408C-973A-AC863751E1D5?$BBY_V3_SL_1.36$&wid=581&hei=788,"$1,450.00",,,women_clothing.html
women_clothing,Check Wool Blend Cardigan,80391531,https://us.burberry.com/check-wool-blend-cardigan-p80391531,https://assets.burberry.com/is/image/Burberryltd/74A6FAA5-65F1-4CC6-8873-CD3068C93C7F?$BBY_V3_SL_1.36$&wid=581&hei=788,"$1,290.00",,,women_clothing.html
women_clothing,Check Stretch Cotton Shirt,80184751,https://us.burberry.com/check-stretch-cotton-shirt-p80184751,https://assets.burberry.com/is/image/Burberryltd/7E095B73-0334-4170-A9F7-CC7FD566DEBD?$BBY_V3_SL_1.36$&wid=581&hei=788,$620.00,,,women_clothing.html
women_clothing,Pleated Check Wool Mini Kilt,80258321,https://us.burberry.com/pleated-check-wool-mini-kilt-p80258321,https://assets.burberry.com/is/image/Burberryltd/4B0C33FF-D92E-4D7F-A6CB-8FE9C5CAA2C2?$BBY_V3_SL_1.36$&wid=581&hei=788,"$1,150.00",,,women_clothing.html
women_clothing,Check Stretch Cotton Shorts,80405981,https://us.burberry.com/check-stretch-cotton-shorts-p80405981,https://assets.burberry.com/is/image/Burberryltd/BC74605E-7195-43F6-90CA-6F67414F5D84?$BBY_V3_SL_1.36$&wid=581&hei=788,$630.00,,,women_clothing.html
women_clothing,Check Silk Shorts,80527481,https://us.burberry.com/check-silk-shorts-p80527481,https://assets.burberry.com/is/image/Burberryltd/EC294184-C184-4FAA-934E-6BFEA0532717?$BBY_V3_SL_1.36$&wid=581&hei=788,$860.00,,,women_clothing.html
women_clothing,Check Cotton Trousers,80711011,https://us.burberry.com/check-cotton-trousers-p80711011,https://assets.burberry.com/is/image/Burberryltd/55F81FF4-3BB2-4598-8874-BF451A413500?$BBY_V3_SL_1.36$&wid=581&hei=788,$800.00,,,women_clothing.html
women_clothing,Check Cotton Shirt Dress,80634981,https://us.burberry.com/check-cotton-shirt-dress-p80634981,https://assets.burberry.com/is/image/Burberryltd/7A7E588E-AF19-4EE0-B671-966B157136C1?$BBY_V3_SL_1.36$&wid=581&hei=788,$990.00,,,women_clothing.html
