product_id,category,item_name,quantity,inventory_ats,price,full_price,discount_name,pre_order,item_ean,item_master,item_category,item_category2,item_category3,image_url,product_url,filename
ABPS100100F,womens-accessories,BI Sunglasses,1,0,690,None,Free express shipping,no,,ABPS100,women,women-accessories,women-accessories-eyewear,"https://media.balmain.com/image/upload/f_auto,q_auto,dpr_auto/c_fill,w_375,h_530/sfcc/balmain/hi-res/ABPS100100FF?_i=AG",us.balmain.com/en/p/bi-sunglasses-ABPS100100F.html,womens-accessories.txt
YBPS130130C,womens-accessories,Admirable sunglasses,1,0,760,None,Free express shipping,no,,YBPS130,eyewear,eyewear-women,,"https://media.balmain.com/image/upload/f_auto,q_auto,dpr_auto/c_fill,w_375,h_530/sfcc/balmain/hi-res/YBPS130130CF?_i=AG",us.balmain.com/en/p/admirable-sunglasses-YBPS130130C.html,womens-accessories.txt
ABPS130130D,womens-accessories,Admirable Sunglasses,1,0,880,None,Free express shipping,no,,ABPS130,women,women-accessories,women-accessories-eyewear,"https://media.balmain.com/image/upload/f_auto,q_auto,dpr_auto/c_fill,w_375,h_530/sfcc/balmain/hi-res/ABPS130130DF?_i=AG",us.balmain.com/en/p/admirable-sunglasses-ABPS130130D.html,womens-accessories.txt
CN1XK135MLTOICH,womens-accessories,Key&Lock earrings,1,0,395,None,Free express shipping,no,,CN1XK135MLTO,women,women-accessories,women-accessories-jewelry,"https://media.balmain.com/image/upload/f_auto,q_auto,dpr_auto/c_fill,w_375,h_530/sfcc/balmain/hi-res/CN1XK135MLTOICHF?_i=AG",us.balmain.com/en/p/key%26lock-earrings-CN1XK135MLTOICH.html,womens-accessories.txt
BN1XR133MLAI1FA,womens-accessories,PB Key ring,1,0,237,395.00,SALE_SS24_40OFF|Free express shipping,no,,BN1XR133MLAI,women,women-accessories,women-accessories-jewelry,"https://media.balmain.com/image/upload/f_auto,q_auto,dpr_auto/c_fill,w_375,h_530/sfcc/balmain/hi-res/BN1XR133MLAI1FAF?_i=AG",us.balmain.com/en/p/pb-key-ring-BN1XR133MLAI1FA.html,womens-accessories.txt
CN1WJ000LVTL0PA,womens-accessories,B-Belt in leather,1,0,475,None,Free express shipping,no,,CN1WJ000LVTL,women,women-accessories,women-accessories-belts,"https://media.balmain.com/image/upload/f_auto,q_auto,dpr_auto/c_fill,w_375,h_530/sfcc/balmain/hi-res/CN1WJ000LVTL0PAF?_i=AG",us.balmain.com/en/p/b-belt-in-leather-CN1WJ000LVTL0PA.html,womens-accessories.txt
BN1WH004LCCYEAC,womens-accessories,Suede and crystal B-Belt,1,0,1550,None,Free express shipping,no,,BN1WH004LCCY,women,women-accessories,women-accessories-belts,"https://media.balmain.com/image/upload/f_auto,q_auto,dpr_auto/c_fill,w_375,h_530/sfcc/balmain/hi-res/BN1WH004LCCYEACF?_i=AG",us.balmain.com/en/p/suede-and-crystal-b-belt-BN1WH004LCCYEAC.html,womens-accessories.txt
AN1XL101PB66GAD,womens-accessories,Beetle brooch set with crystals,1,0,417,695.00,SALE_SS24_40OFF|Free express shipping,no,,AN1XL101PB66,women,women-accessories,women-accessories-jewelry,"https://media.balmain.com/image/upload/f_auto,q_auto,dpr_auto/c_fill,w_375,h_530/sfcc/balmain/hi-res/AN1XL101PB66GADF?_i=AG",us.balmain.com/en/p/beetle-brooch-set-with-crystals-AN1XL101PB66GAD.html,womens-accessories.txt
AN1XL100PB66EEX,womens-accessories,Large beetle brooch set with crystals,1,0,477,795.00,SALE_SS24_40OFF|Free express shipping,no,,AN1XL100PB66,women,women-accessories,women-accessories-jewelry,"https://media.balmain.com/image/upload/f_auto,q_auto,dpr_auto/c_fill,w_375,h_530/sfcc/balmain/hi-res/AN1XL100PB66EEXF?_i=AG",us.balmain.com/en/p/large-beetle-brooch-set-with-crystals-AN1XL100PB66EEX.html,womens-accessories.txt
XBPS124124C,womens-accessories,Soldat sunglasses,1,0,900,None,Free express shipping,no,,XBPS124,women,women-accessories,,"https://media.balmain.com/image/upload/f_auto,q_auto,dpr_auto/c_fill,w_375,h_530/sfcc/balmain/hi-res/XBPS124124CF?_i=AG",us.balmain.com/en/p/soldat-sunglasses-XBPS124124C.html,womens-accessories.txt
BBPS125125E,womens-accessories,Capitaine Sunglasses,1,0,1020,None,Free express shipping,no,,BBPS125,men,men-accessories,men-accessories-eyewear,"https://media.balmain.com/image/upload/f_auto,q_auto,dpr_auto/c_fill,w_375,h_530/sfcc/balmain/hi-res/BBPS125125EF?_i=AG",us.balmain.com/en/p/capitaine-sunglasses-BBPS125125E.html,womens-accessories.txt
ABPS125125D,womens-accessories,Capitaine Sunglasses,1,0,1020,None,Free express shipping,no,,ABPS125,women,women-accessories,women-accessories-eyewear,"https://media.balmain.com/image/upload/f_auto,q_auto,dpr_auto/c_fill,w_375,h_530/sfcc/balmain/hi-res/ABPS125125DF?_i=AG",us.balmain.com/en/p/capitaine-sunglasses-ABPS125125D.html,womens-accessories.txt
XBPS125125B,womens-accessories,Captaine sunglasses,1,0,1020,None,Free express shipping,no,,XBPS125,men,men-accessories,men-accessories-eyewear,"https://media.balmain.com/image/upload/f_auto,q_auto,dpr_auto/c_fill,w_375,h_530/sfcc/balmain/hi-res/XBPS125125BF?_i=AG",us.balmain.com/en/p/captaine-sunglasses-XBPS125125B.html,womens-accessories.txt
BBPS144144B,womens-accessories,B-Grand Sunglasses,1,0,790,None,Free express shipping,no,,BBPS144,men,men-accessories,men-accessories-eyewear,"https://media.balmain.com/image/upload/f_auto,q_auto,dpr_auto/c_fill,w_375,h_530/sfcc/balmain/hi-res/BBPS144144BF?_i=AG",us.balmain.com/en/p/b-grand-sunglasses-BBPS144144B.html,womens-accessories.txt
BBPS144144A,womens-accessories,B-Grand Sunglasses,1,0,790,None,Free express shipping,no,,BBPS144,men,men-accessories,men-accessories-eyewear,"https://media.balmain.com/image/upload/f_auto,q_auto,dpr_auto/c_fill,w_375,h_530/sfcc/balmain/hi-res/BBPS144144AF?_i=AG",us.balmain.com/en/p/b-grand-sunglasses-BBPS144144A.html,womens-accessories.txt
