product_id,product_name,price,category,image_urls,product_url,sale_price,original_price,discount,filename
52F377BLKZ,Daniel Sweater in Cashmere,"$1,495",men_essentials,"//www.therow.com/cdn/shop/files/52F377BLKZ_600x.jpg?v=1682604358, //www.therow.com/cdn/shop/files/52F377BLKF_600x.jpg?v=1682604359",/products/daniel-mock-neck-black,,"$1,495",,No,men_essentials.html
267Y590BLKZ,Delsie Mock Neck in Wool,"$1,220",men_essentials,", , //www.therow.com/cdn/shop/products/267Y590BLKZ_600x.jpg?v=1677592425, //www.therow.com/cdn/shop/products/267Y590BLKF_600x.jpg?v=1675019312",/products/delsie-mock-neck-black,,"$1,220",,No,men_essentials.html
268Y590BLKZ,Djon Polo in Wool,"$1,350",men_essentials,", , //www.therow.com/cdn/shop/files/268Y590BLKZ_600x.jpg?v=1688670604, //www.therow.com/cdn/shop/files/268Y590BLKF_600x.jpg?v=1682604485",/products/djon-polo-black-1,,"$1,350",,No,men_essentials.html
269Y590BLKZ,Dlomu T-Shirt in Wool,"$1,150",men_essentials,", , //www.therow.com/cdn/shop/products/269Y590BLKZ_600x.jpg?v=1682897995, //www.therow.com/cdn/shop/files/269Y590BLKF_6917b01a-863a-41fc-a00f-ef75f91fb43c_600x.jpg?v=1682897995",/products/dlomu-t-shirt-black,,"$1,150",,No,men_essentials.html
274W1911BLKZ,Ferro Coat in Wool and Cashmere,"$2,990",men_essentials,", , //www.therow.com/cdn/shop/products/274W1911BLKZ_600x.jpg?v=1688674549, //www.therow.com/cdn/shop/products/274W1911BLKF_600x.jpg?v=1665786519",/products/ferro-coat-black,,"$2,990",,No,men_essentials.html
288K291BLKZ,Drago Top in Cotton,$490,men_essentials,", , //www.therow.com/cdn/shop/files/288K291BLKZ_600x.jpg?v=1688673524, //www.therow.com/cdn/shop/files/288K291BLKF_600x.jpg?v=1682604612",/products/drago-top-black,,$490,,No,men_essentials.html
289K291BLKZ,Dustin Top in Cotton,$470,men_essentials,", , //www.therow.com/cdn/shop/products/289K291BLKZ_600x.jpg?v=1682898318, //www.therow.com/cdn/shop/files/289K291BLKF_e1eb66b9-9de4-4b1d-90d4-598f17c47e18_600x.jpg?v=1682898318",/products/dustin-top-black,,$470,,No,men_essentials.html
189K291BLKZ,Leon T-Shirt in Cotton,$390,men_essentials,", , //www.therow.com/cdn/shop/products/189K291BLKZ_48d5c92f-8f6c-4e3b-873a-53aeb7821571_600x.jpg?v=1677594015, //www.therow.com/cdn/shop/products/189K291BLKF_bf1bb9cc-3005-4e94-a225-26f2f3b87fcd_600x.jpg?v=1675021314",/products/leon-l-s-t-shirt-black-cotton,,$390,,No,men_essentials.html
120K291BLKZ,Luke T-Shirt in Cotton,$350,men_essentials,", , //www.therow.com/cdn/shop/products/120K291BLKZ_600x.jpg?v=1676865493, //www.therow.com/cdn/shop/products/120K291BLKF_600x.jpg?v=1665786846",/products/luke-t-shirt-black,,$350,,No,men_essentials.html
381K291BLKZ,Errigal Top in Cotton,$420,men_essentials,", , //www.therow.com/cdn/shop/files/381K291BLKZ_600x.jpg?v=1688873811, //www.therow.com/cdn/shop/files/381K291BLKF_600x.jpg?v=1688873793",/products/errigal-top-black,,$420,,No,men_essentials.html
280W1699BLKZ,Gerhardt Short in Cotton and Cashmere,$990,men_essentials,", , //www.therow.com/cdn/shop/files/280W1699BLKZ_600x.jpg?v=1688670213, //www.therow.com/cdn/shop/files/280W1699BLKF_600x.jpg?v=1682604773",/products/gerhardt-short-black,,$990,,No,men_essentials.html
284W2439BLKZ,Lukre Shirt in Cotton,"$1,190",men_essentials,", , //www.therow.com/cdn/shop/files/284W2439BLKZ_600x.jpg?v=1688671092, //www.therow.com/cdn/shop/files/284W2439BLKF_600x.jpg?v=1682715091",/products/lukre-shirt-black,,"$1,190",,No,men_essentials.html
281W1699BLKZ,Jonah Pant in Cotton and Cashmere,"$1,290",men_essentials,", , //www.therow.com/cdn/shop/products/281W1699BLKZ_600x.jpg?v=1677593858, //www.therow.com/cdn/shop/products/281W1699BLKF_600x.jpg?v=1675021179",/products/jonah-pant-black-1,,"$1,290",,No,men_essentials.html
284W2439WHTZ,Lukre Shirt in Cotton,"$1,190",men_essentials,", , //www.therow.com/cdn/shop/products/284W2439WHTZ_600x.jpg?v=1688670961, //www.therow.com/cdn/shop/products/284W2439WHTF_600x.jpg?v=1675021464",/products/lukre-shirt-white,,"$1,190",,No,men_essentials.html
281W1699WHTZ,Jonah Pant in Cotton and Cashmere,"$1,290",men_essentials,"//www.therow.com/cdn/shop/products/281W1699WHTZ_600x.jpg?v=1678995627, //www.therow.com/cdn/shop/products/281W1699WHTF_600x.jpg?v=1678995627",/products/jonah-pant-white,,"$1,290",,Yes,men_essentials.html
284W2439PWBZ,Lukre Shirt in Cotton,"$1,190",men_essentials,", , //www.therow.com/cdn/shop/files/284W2439PWBZ_600x.jpg?v=1688673922, //www.therow.com/cdn/shop/files/284W2439PWBF_600x.jpg?v=1682605303",/products/lukre-shirt-powder-blue,,"$1,190",,No,men_essentials.html
501W2193LTBZ,Morton Jean in Cotton,$650,men_essentials,", , //www.therow.com/cdn/shop/files/501W2193LTBZ_600x.jpg?v=1688670290, //www.therow.com/cdn/shop/files/501W2193LTBF_600x.jpg?v=1682605388",/products/morton-jean-light-blue,,$650,,No,men_essentials.html
381K291WHTZ,Errigal Top in Cotton,$420,men_essentials,"//www.therow.com/cdn/shop/files/381K291WHTZ_600x.jpg?v=1698360239, //www.therow.com/cdn/shop/files/381K291WHTF_600x.jpg?v=1698360238",/products/errigal-top-white,,$420,,No,men_essentials.html
413W2352BLKZ,Carlisle Jeans in Cotton,$690,men_essentials,", , //www.therow.com/cdn/shop/products/413W2352BLKZ_600x.jpg?v=1682604262, //www.therow.com/cdn/shop/files/413W2352BLKF_600x.jpg?v=1682604262",/products/carlisle-jean-black,,$690,,No,men_essentials.html
381K291DVTZ,Errigal Top in Cotton,$420,men_essentials,", , //www.therow.com/cdn/shop/files/381K291DVTZ_600x.jpg?v=1688874894, //www.therow.com/cdn/shop/files/381K291DVTF_600x.jpg?v=1688874873",/products/errigal-top-dovetail,,$420,,No,men_essentials.html
501W2193INDZ,Morton Jean in Cotton,$650,men_essentials,", , //www.therow.com/cdn/shop/products/501W2193INDZ_600x.jpg?v=1677594600, //www.therow.com/cdn/shop/products/501W2193INDF_600x.jpg?v=1675021841",/products/morton-jean-indigo,,$650,,No,men_essentials.html
332W1699WHTZ,Kiki Shirt in Cotton and Cashmere,"$1,590",men_essentials,"//www.therow.com/cdn/shop/files/332W1699WHTZ_600x.jpg?v=1713902437, //www.therow.com/cdn/shop/files/332W1699WHTF_600x.jpg?v=1713902438",/products/kiki-shirt-white,,"$1,590",,No,men_essentials.html
386K290NVYZ,Essoni Top in Navy,$790,men_essentials,", , //www.therow.com/cdn/shop/files/386K290NVYZ_600x.jpg?v=1714253309, //www.therow.com/cdn/shop/files/386K290NVYF_600x.jpg?v=1713838126",/products/essoni-top-navy,,$790,,No,men_essentials.html
387K290NVYZ,Eston Short in Cotton,$620,men_essentials,", , //www.therow.com/cdn/shop/files/387K290NVYZ_600x.jpg?v=1714253333, //www.therow.com/cdn/shop/files/387K290NVYF_600x.jpg?v=1713838250",/products/eston-short-navy,,$620,,No,men_essentials.html
