"product_id","product_name","brand","price","currency","category","sub_category","color","product_url","image_url"
"45823318MH","Marcie hobo bag in grained leather","CHLOE","2390","USD","llbgs","Hand bag","DARK NUT","https://www.chloe.comhttps://www.chloe.com/us/hand-bag_cod45823318mh.html","https://www.chloe.com/product_image/45823318MH/f/w282.jpg"
"45863470BK","Marcie hobo bag in soft leather","CHLOE","2390","USD","llbgs","Shoulder bag","Clay Brown","https://www.chloe.comhttps://www.chloe.com/us/shoulder-bag_cod45863470bk.html","https://www.chloe.com/product_image/45863470BK/f/w282.jpg"
"45863500RW","Marcie hobo bag in grained leather","CHLOE","2390","USD","llbgs","Hand bag","Dark Khaki","https://www.chloe.comhttps://www.chloe.com/us/hand-bag_cod45863500rw.html","https://www.chloe.com/product_image/45863500RW/f/w282.jpg"
"45823314CI","Marcie hobo bag in grained leather","CHLOE","2390","USD","llbgs","Hand bag","Black","https://www.chloe.comhttps://www.chloe.com/us/hand-bag_cod45823314ci.html",""
"45863471OS","Marcie bag in soft leather","CHLOE","2690","USD","llbgs","Hand bag","Clay Brown","https://www.chloe.comhttps://www.chloe.com/us/hand-bag_cod45863471os.html",""
"45863472RI","Marcie bag in soft leather","CHLOE","2690","USD","llbgs","Hand bag","Black","https://www.chloe.comhttps://www.chloe.com/us/hand-bag_cod45863472ri.html",""
"45863413EN","Marcie bag in grained leather","CHLOE","2690","USD","llbgs","Hand bag","DIMNESS PURPLE","https://www.chloe.comhttps://www.chloe.com/us/hand-bag_cod45863413en.html",""
"45660620DN","Marcie bag in grained leather","CHLOE","2690","USD","llbgs","Hand bag","Light Tan","https://www.chloe.comhttps://www.chloe.com/us/hand-bag_cod45660620dn.html","https://www.chloe.com/product_image/45660620DN/f/w282.jpg"
"45661614DK","Marcie bag in grained leather","CHLOE","2690","USD","llbgs","Hand bag","Cashmere Grey","https://www.chloe.comhttps://www.chloe.com/us/hand-bag_cod45661614dk.html","https://www.chloe.com/product_image/45661614DK/f/w282.jpg"
"45661616FT","Marcie bag in grained leather","CHLOE","2690","USD","llbgs","Hand bag","Tan","https://www.chloe.comhttps://www.chloe.com/us/hand-bag_cod45661616ft.html","https://www.chloe.com/product_image/45661616FT/f/w282.jpg"
"45661613OG","Marcie bag in grained leather","CHLOE","2690","USD","llbgs","Hand bag","Black","https://www.chloe.comhttps://www.chloe.com/us/hand-bag_cod45661613og.html","https://www.chloe.com/product_image/45661613OG/f/w282.jpg"
"45711450SV","Small Marcie bag in grained leather","CHLOE","2390","USD","llbgs","Hand bag","White","https://www.chloe.comhttps://www.chloe.com/us/hand-bag_cod45711450sv.html","https://www.chloe.com/product_image/45711450SV/f/w282.jpg"
"45863412OK","Small Marcie bag in grained leather","CHLOE","2390","USD","llbgs","Hand bag","Cement Pink","https://www.chloe.comhttps://www.chloe.com/us/hand-bag_cod45863412ok.html","https://www.chloe.com/product_image/45863412OK/f/w282.jpg"
"45863465WR","Small Marcie bag in soft leather","CHLOE","2390","USD","llbgs","Hand bag","DEEP BEIGE","https://www.chloe.comhttps://www.chloe.com/us/hand-bag_cod45863465wr.html","https://www.chloe.com/product_image/45863465WR/f/w282.jpg"
"45822921HU","Small Marcie bag in grained leather","CHLOE","2390","USD","llbgs","Hand bag","Light Tan","https://www.chloe.comhttps://www.chloe.com/us/hand-bag_cod45822921hu.html","https://www.chloe.com/product_image/45822921HU/f/w282.jpg"
"45851835NC","Small Marcie bag in grained leather","CHLOE","2390","USD","llbgs","Hand bag","TERRACOTTA PINK","https://www.chloe.comhttps://www.chloe.com/us/hand-bag_cod45851835nc.html","https://www.chloe.com/product_image/45851835NC/f/w282.jpg"
"45741206AT","Small Marcie bag in grained leather","CHLOE","2390","USD","llbgs","Hand bag","MILKY BROWN","https://www.chloe.comhttps://www.chloe.com/us/hand-bag_cod45741206at.html","https://www.chloe.com/product_image/45741206AT/f/w282.jpg"
"45661612FE","Small Marcie bag in grained leather","CHLOE","2390","USD","llbgs","Hand bag","Tan","https://www.chloe.comhttps://www.chloe.com/us/hand-bag_cod45661612fe.html","https://www.chloe.com/product_image/45661612FE/f/w282.jpg"
"45661611RN","Small Marcie bag in grained leather","CHLOE","2390","USD","llbgs","Hand bag","Cashmere Grey","https://www.chloe.comhttps://www.chloe.com/us/hand-bag_cod45661611rn.html","https://www.chloe.com/product_image/45661611RN/f/w282.jpg"
"45863411WS","Small Marcie bag in grained leather","CHLOE","2390","USD","llbgs","Hand bag","Dark Khaki","https://www.chloe.comhttps://www.chloe.com/us/hand-bag_cod45863411ws.html","https://www.chloe.com/product_image/45863411WS/f/w282.jpg"
"45661610FI","Small Marcie bag in grained leather","CHLOE","2390","USD","llbgs","Hand bag","Black","https://www.chloe.comhttps://www.chloe.com/us/hand-bag_cod45661610fi.html","https://www.chloe.com/product_image/45661610FI/f/w282.jpg"
"45741540IU","Small Marcie bag in grained leather","CHLOE","2390","USD","llbgs","Hand bag","Navy","https://www.chloe.comhttps://www.chloe.com/us/hand-bag_cod45741540iu.html","https://www.chloe.com/product_image/45741540IU/f/w282.jpg"
"45711707AC","Small Marcie saddle bag in grained leather","CHLOE","1350","USD","llbgs","Hand bag","Crystal White","https://www.chloe.comhttps://www.chloe.com/us/hand-bag_cod45711707ac.html","https://www.chloe.com/product_image/45711707AC/f/w282.jpg"
"45863416HV","Small Marcie saddle bag in grained leather","CHLOE","1450","USD","llbgs","Hand bag","Cement Pink","https://www.chloe.comhttps://www.chloe.com/us/hand-bag_cod45863416hv.html","https://www.chloe.com/product_image/45863416HV/f/w282.jpg"
