product_id,product_url,product_name,price,image_urls,color_options,filename
7090M,https://www.canadagoose.com/us/en/rosseau-%C2%BC-zip-sweater-7090M.html,Rosseau ¼ Zip Sweater,$475,"https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1711028632/product-image/7090M_432_a.jpg, https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg, https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg, https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg, https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg","[{""color"": ""Limestone"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1557415370/product-swatch/432.svg""}, {""color"": ""Ozone Blue Heather"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1643047134/product-swatch/1026.svg""}]",all_men.html
6700M,https://www.canadagoose.com/us/en/science-research-hoody-6700M.html,Science Research Hoody,$575,"https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1632335345/product-image/6700M_433_a.jpg, https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg, https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg, https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg, https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg, https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg, https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg, https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg, https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg, https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg, https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg","[{""color"": ""North Star White"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1687454294/product-swatch/433.svg""}, {""color"": ""Red"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1557415141/product-swatch/11.svg""}]",all_men.html
7500M,https://www.canadagoose.com/us/en/killarney-pant-7500M.html,Killarney Pant,$425,"https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1711028731/product-image/7500M_61_a.jpg, https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg, https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg, https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg","[{""color"": ""Black"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1557415280/product-swatch/61.svg""}]",all_men.html
2804M,https://www.canadagoose.com/us/en/lawrence-puffer-vest-2804M.html,Lawrence Puffer Vest,$795,"https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1687286411/product-image/2804M_61_a.jpg, https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg, https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg, https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg, https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg","[{""color"": ""Black"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1557415280/product-swatch/61.svg""}, {""color"": ""Atlantic Navy"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1590003302/product-swatch/63.svg""}]",all_men.html
2447M,https://www.canadagoose.com/us/en/burnaby-chore-coat-2447M.html,Burnaby Chore Coat,$750,"https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1709032272/product-image/2447M_49_a.jpg, https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg, https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg, https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg, https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg, https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg, https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg, https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg, https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg","[{""color"": ""Black"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1557415280/product-swatch/61.svg""}, {""color"": ""Military Green"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1557414882/product-swatch/49.svg""}]",all_men.html
2048MB,https://www.canadagoose.com/us/en/wyndham-parka-black-label-2048MB.html,Wyndham Parka Black Label,"$1,395","https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1700415214/product-image/2048MB_61_a.jpg, https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg, https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg, https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg, https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg, https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg, https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg, https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg","[{""color"": ""Black"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1557415280/product-swatch/61.svg""}, {""color"": ""Coastal Grey"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1560265012/product-swatch/811.svg""}, {""color"": ""North Star White"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1687454294/product-swatch/433.svg""}]",all_men.html
4151M1,https://www.canadagoose.com/us/en/garson-vest-wool-4151M1.html,Garson Vest Wool,$850,"https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1683313513/product-image/4151M1_1551_a.jpg, https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg, https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg, https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg, https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg, https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg, https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg","[{""color"": ""Atlantic Navy Melange"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1654520850/product-swatch/1161.svg""}, {""color"": ""Carbon Melange"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1654520847/product-swatch/1160.svg""}, {""color"": ""Military Green Melange"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1654520853/product-swatch/1162.svg""}, {""color"": ""Quicksand Melange"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1659115571/product-swatch/1163.svg""}, {""color"": ""Slate Grey Melange"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1676562558/product-swatch/1551.svg""}]",all_men.html
5079MB,https://www.canadagoose.com/us/en/lodge-jacket-black-label-5079MB.html,Lodge Jacket Black Label,$795,"https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1715724295/product-image/5079MB_61_a.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1715724295/product-image/5079MB_61_a.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1715724276/product-image/5079MB_61_b.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1715724285/product-image/5079MB_61_c.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1715724300/product-image/5079MB_61_d.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1639063883/product-image/5079MB_61_o.png, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1639063880/product-image/5079MB_61_p.png","[{""color"": ""Black"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1557415280/product-swatch/61.svg""}]",all_men.html
8837U,https://www.canadagoose.com/us/en/mini-waist-pack-8837U.html,Mini Waist Pack,$225,"https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1714142568/product-image/8837U_61_a.jpg, https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg, https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg, https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg, https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg, https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg","[{""color"": ""Black"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1557415280/product-swatch/61.svg""}, {""color"": ""White"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1687454294/product-swatch/25.svg""}]",all_men.html
2440M,https://www.canadagoose.com/us/en/faber-hoody-2440M.html,Faber Hoody,$575,"https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1705694616/product-image/2440M_1481_a.jpg, https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg, https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg, https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg, https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg, https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg, https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg, https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg","[{""color"": ""Black"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1557415280/product-swatch/61.svg""}, {""color"": ""Atlantic Navy"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1590003302/product-swatch/63.svg""}, {""color"": ""Ozone Blue"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1625587112/product-swatch/222.svg""}, {""color"": ""Sagebrush"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1573595283/product-swatch/852.svg""}, {""color"": ""Cedar Green"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1676562530/product-swatch/1481.svg""}]",all_men.html
