product_id,product_name,price,category,image_urls,product_url,colors,sale_price,original_price,filename
m32mp221n,CLOUD PARKA,1150.00,men_icons,https://mooseknuckles.co/media/catalog/product/m/3/m32mp221n_833_front_category_jxphjivw15lqdg2l.jpg?optimize=high&fit=bounds&height=&width=750&format=pjpg&quality=100&auto=webp,/us-en/p/cloud-parka-m32mp221n,"Black, Nimbus Cloud",,1150.00,men_icons.html
m39mb014,ONYX SCOTCHTOWN BOMBER,1295.00,men_icons,https://mooseknuckles.co/media/catalog/product/m/3/m39mb014_472_front_category_3.jpg?optimize=high&fit=bounds&height=&width=750&format=pjpg&quality=100&auto=webp,/us-en/p/onyx-scotchtown-bomber-m39mb014,"Gray Birch / Frost Fox Fur, Black / Frost Fox Fur",,1295.00,men_icons.html
m33mb014s,ONYX SCOTCHTOWN BOMBER SHEARLING,1295.00,men_icons,https://mooseknuckles.co/media/catalog/product/m/3/m33mb014s_1181_front_category_jjtgufm7mwlmbaro.jpg?optimize=high&fit=bounds&height=&width=750&format=pjpg&quality=100&auto=webp,/us-en/p/onyx-scotchtown-bomber-shearling-m33mb014s,"Black / Black Shearling, Grey Birch / Frost Neoshear, Black / Frost Neoshear",,1295.00,men_icons.html
m39mp210,ONYX BIG RIDGE PARKA FUR,1495.00,men_icons,https://mooseknuckles.co/media/catalog/product/m/3/m39mp210_217_front_1.jpg?optimize=high&fit=bounds&height=&width=750&format=pjpg&quality=100&auto=webp,/us-en/p/onyx-big-ridge-parka-m39mp210,"Gray Birch / Frost Fox Fur, Black / Black Fox Fur, Black / Frost Fox Fur, True Navy / Black Fox Fur",,1495.00,men_icons.html
m33mp210s,ONYX BIG RIDGE PARKA SHEARLING,1495.00,men_icons,https://mooseknuckles.co/media/catalog/product/m/3/m33mp210s_305_front_category_4qt0bixc8czxokvb.jpg?optimize=high&fit=bounds&height=&width=750&format=pjpg&quality=100&auto=webp,/us-en/p/onyx-big-ridge-parka-shearling-m33mp210s,"Black / Black Shearling, Grey Birch / Frost Neoshear, Black / Frost Neoshear",,1495.00,men_icons.html
m32mb000n,ORIGINAL BALLISTIC BOMBER,995.00,men_icons,https://mooseknuckles.co/media/catalog/product/m/3/m32mb000n_833_front_category_3vx0tupcmud2bag9.jpg?optimize=high&fit=bounds&height=&width=750&format=pjpg&quality=100&auto=webp,/us-en/p/original-ballistic-bomber-m32mb000n,"Black, Navy",,995.00,men_icons.html
m32mj128s,ORIGINAL 3Q JACKET SHEARLING,1190.00,men_icons,https://mooseknuckles.co/media/catalog/product/m/3/m32mj128s_1002_front_category_3.jpg?optimize=high&fit=bounds&height=&width=750&format=pjpg&quality=100&auto=webp,/us-en/p/original-3q-jacket-shearling-m32mj128s,"Black / Black Shearling, Navy / Black Shearling, Black / Natural Shearling, Navy / Natural Shearling",,1190.00,men_icons.html
m32mj128n,ORIGINAL 3Q,1095.00,men_icons,https://mooseknuckles.co/media/catalog/product/m/3/m32mj128n_233_front_category_afl2irxli3bag6up.jpg?optimize=high&fit=bounds&height=&width=750&format=pjpg&quality=100&auto=webp,/us-en/p/original-3q-m32mj128n,"Black, Navy",,1095.00,men_icons.html
m32mp261s,ORIGINAL STIRLING PARKA SHEARLING,1295.00,men_icons,https://mooseknuckles.co/media/catalog/product/m/3/m32mp261s_305_front_3.jpg?optimize=high&fit=bounds&height=&width=750&format=pjpg&quality=100&auto=webp,/us-en/p/original-stirling-parka-shearling-m32mp261s,"Black / Black Shearling, Navy / Black Shearling, Black / Natural Shearling, Navy / Natural Shearling",,1295.00,men_icons.html
m32mp261n,ORIGINAL STIRLING PARKA,1195.00,men_icons,https://mooseknuckles.co/media/catalog/product/m/3/m32mp261n_1019_front_category_utx9g0qrrcwaoedm.jpg?optimize=high&fit=bounds&height=&width=750&format=pjpg&quality=100&auto=webp,/us-en/p/original-stirling-parka-m32mp261n,"Black, Navy",,1195.00,men_icons.html
m39mb000gs,GOLD BALLISTIC BOMBER NEOSHEAR,1424.00,men_icons,https://mooseknuckles.co/media/catalog/product/m/3/m39mb000gs_305_front_category_1.jpg?optimize=high&fit=bounds&height=&width=750&format=pjpg&quality=100&auto=webp,/us-en/p/gold-ballistic-bomber-neoshear-m39mb000gs,"Black / Black Shearling, Milky Way / Brown Toscana Shearling",,1424.00,men_icons.html
m32mb021g,STAGG BOMBER,1524.00,men_icons,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",/us-en/p/stagg-bomber-m32mb021g,Black / Black Fox Fur,,1524.00,men_icons.html
m32mb021gs,STAGG BOMBER SHEARLING,1524.00,men_icons,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",/us-en/p/stagg-bomber-shearling-m32mb021gs,Black / Black Shearling,,1524.00,men_icons.html
m32mj128gs,GOLD 3Q JACKET SHEARLING,1424.00,men_icons,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",/us-en/p/gold-3q-jacket-shearling-m32mj128gs,"Black / Black Shearling, Milky Way / Brown Toscana Shearling",,1424.00,men_icons.html
m39mp261gs,GOLD STIRLING PARKA NEOSHEAR,1524.00,men_icons,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",/us-en/p/gold-stirling-parka-neoshear-m39mp261gs,"Black / Black Shearling, Milky Way / Brown Toscana Shearling",,1524.00,men_icons.html
m32ms600g,GOLD LINDEN BUNNY,524.00,men_icons,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",/us-en/p/gold-linden-bunny-m32ms600g,Black / Black Faux Fur,,524.00,men_icons.html
m32ms673g,SNYDER CREW NECK,374.00,men_icons,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",/us-en/p/snyder-crew-neck-m32ms673g,Black,,374.00,men_icons.html
m14mj102,MONNOIR JACKET,595.00,men_outerwear,https://mooseknuckles.co/media/catalog/product/m/1/m14mj102_1377_gm_topq5svabbxnmw58.jpg?optimize=high&fit=bounds&height=&width=750&format=pjpg&quality=100&auto=webp,/us-en/p/monnoir-jacket-m14mj102-promo,STEEL,416.00,595.00,men_outerwear.html
m14mj115,JACQUES JACKET,495.00,men_outerwear,https://mooseknuckles.co/media/catalog/product/m/1/m14mj115_1103_gm_bwl2xemqwlypnzvx.jpg?optimize=high&fit=bounds&height=&width=750&format=pjpg&quality=100&auto=webp,/us-en/p/jacques-jacket-m14mj115-col1103,Plaster,,495.00,men_outerwear.html
m14mj115,JACQUES JACKET,495.00,men_outerwear,https://mooseknuckles.co/media/catalog/product/m/1/m14mj115_292_gm_gsx4ce8uout4xaqr.jpg?optimize=high&fit=bounds&height=&width=750&format=pjpg&quality=100&auto=webp,/us-en/p/jacques-jacket-m14mj115-col292,Black,,495.00,men_outerwear.html
m14mj105,CHARLESBOURG JACKET,465.00,men_outerwear,https://mooseknuckles.co/media/catalog/product/m/1/m14mj105_292_gm_cmsmefbv4fzsdx6b.jpg?optimize=high&fit=bounds&height=&width=750&format=pjpg&quality=100&auto=webp,/us-en/p/charlesbourg-jacket-m14mj105-col292,Black,,465.00,men_outerwear.html
m14mj105,CHARLESBOURG JACKET,465.00,men_outerwear,https://mooseknuckles.co/media/catalog/product/m/1/m14mj105_1376_gm_hd9lxkum6e9emsuf.jpg?optimize=high&fit=bounds&height=&width=750&format=pjpg&quality=100&auto=webp,/us-en/p/charlesbourg-jacket-m14mj105-col1376,Sage,,465.00,men_outerwear.html
m32ms600,MEN'S CLASSIC BUNNY,495.00,men_outerwear,https://mooseknuckles.co/media/catalog/product/m/3/m32ms600_1379_front_category.jpg?optimize=high&fit=bounds&height=&width=750&format=pjpg&quality=100&auto=webp,/us-en/p/mens-classic-bunny-m32ms600,"Black, Charcoal / White Faux Fur, Black / White Faux Fur, Dark Sapphire / Dark Sapphire Faux Fur",,495.00,men_outerwear.html
m14mv456,AIR DOWN EXPLORER VEST,445.00,men_outerwear,https://mooseknuckles.co/media/catalog/product/m/1/m14mv456_1434_gm.jpg?optimize=high&fit=bounds&height=&width=750&format=pjpg&quality=100&auto=webp,/us-en/p/air-down-explorer-vest-m14mv456,"Black / Shiny Black, PLASTER / PLASTER, SAGE / SAGE, MINT / MINT",311.00,445.00,men_outerwear.html
m32mv474g,MONTREAL ORIGINAL VEST GOLD,695.00,men_outerwear,https://mooseknuckles.co/media/catalog/product/m/3/m32mv474g_292_front_category_ef4qijik64aj5it6.jpg?optimize=high&fit=bounds&height=&width=750&format=pjpg&quality=100&auto=webp,/us-en/p/montreal-vest-gold-m32mv474g,Black,,695.00,men_outerwear.html
m32mv474,MONTREAL ORIGINAL VEST,595.00,men_outerwear,https://mooseknuckles.co/media/catalog/product/m/3/m32mv474_1019_front_category_i4oethy8b3uwbhsv.jpg?optimize=high&fit=bounds&height=&width=750&format=pjpg&quality=100&auto=webp,/us-en/p/montreal-vest-m32mv474,"Black, Navy",,595.00,men_outerwear.html
m14mb001,AIR DOWN BOMBER,595.00,men_outerwear,https://mooseknuckles.co/media/catalog/product/m/1/m14mb001_833_gm.jpg?optimize=high&fit=bounds&height=&width=750&format=pjpg&quality=100&auto=webp,/us-en/p/air-down-bomber-m14mb001,"Black, Navy, Sage",,595.00,men_outerwear.html
m14ms604,AIR DOWN EXPLORER ZIP UP,545.00,men_outerwear,https://mooseknuckles.co/media/catalog/product/m/1/m14ms604_1404_gm_95aos0r8ybbkazg4.jpg?optimize=high&fit=bounds&height=&width=750&format=pjpg&quality=100&auto=webp,/us-en/p/air-down-explorer-zip-up-m14ms604,"Black / Shiny Black, SAGE / SAGE, MINT / MINT",381.00,545.00,men_outerwear.html
m13ms602h1,BORDEN REVERSIBLE BUNNY,645.00,men_outerwear,https://mooseknuckles.co/media/catalog/product/m/1/m13ms602h1_1421_front.jpg?optimize=high&fit=bounds&height=&width=750&format=pjpg&quality=100&auto=webp,/us-en/p/eaton-reversible-bunny-m13ms602h1,SAGE CAMO / SAGE,,645.00,men_outerwear.html
