"Cod10","Title","Price","position","category","macro_category","micro_category","macro_category_id","micro_category_id","color","color_id","product_price","discountedPrice","price_tf","discountedPrice_tf","quantity","coupon","is_in_stock","list","url","img_src","filename"
"16283031UU","Double-breasted jacket","3690","208","2298/29755","Ready-to-wear","Jackets ","2298","29755","Black","23387","3690","1845","3690.0","1845.0","1","","True","searchresult","https://www.chloe.com/us/jackets_cod16283031uu.html","https://www.chloe.com/product_image/16283031UU/f/w282.jpg","clothing.html"
"54204028CB","Cropped bootcut pants","1190","209","2298/29772","Ready-to-wear","Pants ","2298","29772","Abyss Blue","8612","1190","1190","1190.0","1190.0","1","","True","searchresult","https://www.chloe.com/us/pants_cod54204028cb.html","https://www.chloe.com/product_image/54204028CB/f/w282.jpg","clothing.html"
"10441137TF","Balloon-sleeve shirt","2450","210","2298/29768","Ready-to-wear","Top","2298","29768","Boyish Yellow","14725","2450","2450","2450.0","2450.0","1","","True","searchresult","https://www.chloe.com/us/top_cod10441137tf.html","https://www.chloe.com/product_image/10441137TF/f/w282.jpg","clothing.html"
"10441142QN","Scoop-neck tank top","1290","211","2298/29768","Ready-to-wear","Top","2298","29768","Boyish Yellow","14725","1290","1290","1290.0","1290.0","1","","True","searchresult","https://www.chloe.com/us/top_cod10441142qn.html","https://www.chloe.com/product_image/10441142QN/f/w282.jpg","clothing.html"
"54206391LT","Wide-leg sailor pants","2590","212","2298/29772","Ready-to-wear","Pants ","2298","29772","Boyish Yellow","14725","2590","2590","2590.0","2590.0","1","","True","searchresult","https://www.chloe.com/us/pants_cod54206391lt.html","https://www.chloe.com/product_image/54206391LT/f/w282.jpg","clothing.html"
"15374408HV","Embroidered sleeveless maxi dress","8690","213","2298/29827","Ready-to-wear","Dresses","2298","29827","Black","23387","8690","4345","8690.0","4345.0","1","","True","searchresult","https://www.chloe.com/us/dresses_cod15374408hv.html","https://www.chloe.com/product_image/15374408HV/f/w282.jpg","clothing.html"
"14364713QP","Ruched puffer jacket","7390","214","2298/29755","Ready-to-wear","Jackets ","2298","29755","Black","23387","7390","3695","7390.0","3695.0","1","","True","searchresult","https://www.chloe.com/us/jackets_cod14364713qp.html","https://www.chloe.com/product_image/14364713QP/f/w282.jpg","clothing.html"
"15395533BF","Flared sleeveless dress","3550","215","2298/29827","Ready-to-wear","Dresses","2298","29827","PARISIAN BLUE","62721","3550","3550","3550.0","3550.0","1","","True","searchresult","https://www.chloe.com/us/dresses_cod15395533bf.html","https://www.chloe.com/product_image/15395533BF/f/w282.jpg","clothing.html"
"16283013SL","Below-the-knee overcoat","6990","216","2298/29818","Ready-to-wear","Coats","2298","29818","Black","23387","6990","3495","6990.0","3495.0","1","","True","searchresult","https://www.chloe.com/us/coats_cod16283013sl.html","https://www.chloe.com/product_image/16283013SL/f/w282.jpg","clothing.html"
"16147182TL","Overcoat","3450","217","2298/29818","Ready-to-wear","Coats","2298","29818","","","3450","3450","3450.0","3450.0","1","","True","searchresult","https://www.chloe.com/us/coats_cod16147182tl.html","https://www.chloe.com/product_image/16147182TL/f/w282.jpg","clothing.html"
"15395537CP","Short shirt dress","3390","218","2298/29827","Ready-to-wear","Dresses","2298","29827","PARISIAN BLUE","62721","3390","3390","3390.0","3390.0","1","","True","searchresult","https://www.chloe.com/us/dresses_cod15395537cp.html","https://www.chloe.com/product_image/15395537CP/f/w282.jpg","clothing.html"
"54186229HB","Cigarette pants","3295","219","2298/29772","Ready-to-wear","Pants ","2298","29772","Black","23387","3295","3295","3295.0","3295.0","1","","True","searchresult","https://www.chloe.com/us/pants_cod54186229hb.html","https://www.chloe.com/product_image/54186229HB/f/w282.jpg","clothing.html"
"15350378IS","Pleated long dress","6450","220","2298/29827","Ready-to-wear","Dresses","2298","29827","Eden White","7355","6450","3225","6450.0","3225.0","1","","True","searchresult","https://www.chloe.com/us/dresses_cod15350378is.html","https://www.chloe.com/product_image/15350378IS/f/w282.jpg","clothing.html"
"15374255JO","Fitted bell-sleeve dress","3190","221","2298/29827","Ready-to-wear","Dresses","2298","29827","","","3190","3190","3190.0","3190.0","1","","True","searchresult","https://www.chloe.com/us/dresses_cod15374255jo.html","https://www.chloe.com/product_image/15374255JO/f/w282.jpg","clothing.html"
"30167455CL","High-waisted midi skirt","6190","222","2298/29828","Ready-to-wear","Skirts","2298","29828","Black","23387","6190","3095","6190.0","3095.0","1","","True","searchresult","https://www.chloe.com/us/skirts_cod30167455cl.html","https://www.chloe.com/product_image/30167455CL/f/w282.jpg","clothing.html"
